Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1472952	0.442415843613017	0.00197295920067269	0.0295434207622524	0.0851782377898577	0.4408895386342	9999	0.490934843365847	0.934093564798014
ERR1472953	0.619872104829828	0.00241421229657825	0.0113514796802073	0.0358159568238164	0.33054624636957	9999	0.513530662107946	0.918270608085667
ERR1472954	0.677134939489877	0	0.0183922598562791	0.0411530657461567	0.263319734907687	9999	0.4586983622801	0.96942851356682
ERR1472955	0.625399426016178	0.00898169988765818	0.00978900315207915	0.0351020215602256	0.320727849383859	9999	0.478292152680988	0.949697730563674
ERR1472956	0.625533104480506	0	0.0173103770881519	0.0329654569124297	0.324191061518913	9999	0.461260502284606	0.965021957154876
ERR1472957	0.599682753960051	0.0214671974569386	0.0195802503864348	0.0465873220653315	0.312682476131244	9999	0.468230209889924	0.954854279450498
ERR1472958	0.616745701019237	0	0.0161453142752431	0.0624031813130093	0.30470580339251	9999	0.442335123517435	0.979381672221125
ERR1472959	0.710396232757398	0	0.00366992709332301	0.0266626940471607	0.259271146102118	9999	0.489292708769108	0.946405607800619
ERR1472960	0.681749657949015	0	0.0123356640354019	0.0241400105575904	0.281774667457993	9999	0.441488609272415	0.986069702871206
ERR1472961	0.679056553938795	0.0105784857131066	0.00875054110501019	0.0314781788474321	0.270136240395656	9999	0.500392391587522	0.932703946543128
ERR1472962	0.668653484994187	0.0104661766456609	0.0133996977247835	0.0349834729291785	0.27249716770619	9999	0.508166728128622	0.924503029697233
ERR1472963	0.713486555773207	0.00727749126005208	0.0408855651680985	0.0343108021735077	0.204039585625135	9999	0.469899511553518	0.960700372773856
ERR1472964	0.68792871600864	0.0121485438358652	0.084962039027951	0.0104139400397826	0.204546761087761	9999	0.468495578895994	0.958236744421019
ERR1472965	0.747338148585525	0	0.0757734469343687	0.040452069715185	0.136436334764922	9999	0.427720436210498	0.999819807584335
ERR1472966	0.714480455113792	0	0.0896312575088463	0.0857396256020022	0.110148661775359	9999	0.435361715318486	0.988030624045795
ERR1472967	0.599222110636537	0.00404446875549489	0.0055128346889577	0.0277423791487632	0.363478206770247	9999	0.49524284446462	0.935183281130669
ERR1472968	0.80647105141907	0	0	0.0178029514961922	0.175725997084738	9999	0.460247983999436	0.982793847937435
ERR1472969	0.535153020917595	0	0	0.0312433691626523	0.433603609919752	9999	0.553334001058802	0.881799531896912
ERR1472970	0.630742046442775	0	0.00425844830755447	0.0337806190844834	0.331218886165187	9999	0.499618639253672	0.932285516596343
ERR1472971	0.619938204402521	0.00428070148525417	0.026034879584491	0.038667089039947	0.311079125487787	9999	0.518765464316052	0.911951939263193
