"","OriginalMetadataColumnName","BITColumnName","Include (Yes/No) - Interest","Type"
"1","X","SampleID","Yes","Sample characteristics"
"2",NA,"Age Interval","Yes","Phenotype"
"3","Age","Age (Numeric)","Yes","Phenotype"
"4",NA,"Period","Yes","Phenotype"
"5","BrNum","DonorID","Yes","Phenotype"
"6","Sex","Sex","Yes","Phenotype"
"7","Race","Ethnicity","Yes","Phenotype"
"8","Dx","Diagnosis","Yes","Phenotype"
"9","Region","Structure Acronym","Yes","Sample characteristics"
"10",NA,"Regions","Yes","Sample characteristics"
"11",NA,"Proportion of Neurons (MultiBrain)","Yes","Cell Type"
"12",NA,"Proportion of Astrocytes (MultiBrain)","Yes","Cell Type"
"13",NA,"Proportion of Microglia (MultiBrain)","Yes","Cell Type"
"14",NA,"Proportion of Oligodendrocytes (MultiBrain)","Yes","Cell Type"
"15",NA,"Proportion of Endothelia (MultiBrain)","Yes","Cell Type"
"16","Fetal_replicating","Dev Replicating (BrainSeq)","Yes","Cell Type"
"17","Fetal_quiescent","Dev Quiescent (BrainSeq)","Yes","Cell Type"
"18","OPC","Adult OPC (BrainSeq)","Yes","Cell Type"
"19","Neurons","Adult Neurons (BrainSeq)","Yes","Cell Type"
"20","Astrocytes","Adult Astrocytes (BrainSeq)","Yes","Cell Type"
"21","Oligodendrocytes","Adult Oligo (BrainSeq)","Yes","Cell Type"
"22","Microglia","Adult Microglia (BrainSeq)","Yes","Cell Type"
"23","Endothelial","Adult Endothelial (BrainSeq)","Yes","Cell Type"
"24","trimmed","Trimmed","Yes","Sequencing metrics"
"25","numReads","Total N Reads","Yes","Sequencing metrics"
"26","numUnmapped","Number of Reads Unmapped","Yes","Sequencing metrics"
"27","overallMapRate","Mapping Rate","Yes","Sequencing metrics"
"28","concordMapRate","Concordant Mapping Rate","Yes","Sequencing metrics"
"29","mitoRate","Mito Ratio","Yes","Sequencing metrics"
"30","totalAssignedGene","Total Assigned Gene","Yes","Sequencing metrics"
"31","rRNA_rate","rRNA ratio","Yes","Sequencing metrics"
"32","RIN","RIN","Yes","Sequencing metrics"
