"","OriginalMetadataColumnName","BITColumnName","Include (Yes/No) - Interest","Type"
"1","Run","SampleID","Yes","Sample characteristics"
"2","external_id","SampleID","Yes","Sample characteristics"
"3",NA,"Age Interval","Yes","Phenotype"
"4",NA,"Age (Numeric)","Yes","Phenotype"
"5",NA,"Period","Yes","Phenotype"
"6","Sample.Characteristic.individual.","DonorID","Yes","Phenotype"
"7","Sample.Characteristic.karyotype.","Sex","Yes","Phenotype"
"8","Sample.Characteristic.organism.part.","Structure Acronym","Yes","Sample characteristics"
"9",NA,"Regions","Yes","Sample characteristics"
"10","Sample.Characteristic.sampling.site.","Hemisphere","Yes","Sample characteristics"
"11",NA,"Proportion of Neurons (MultiBrain)","Yes","Cell Type"
"12",NA,"Proportion of Astrocytes (MultiBrain)","Yes","Cell Type"
"13",NA,"Proportion of Microglia (MultiBrain)","Yes","Cell Type"
"14","NA ","Proportion of Oligodendrocytes (MultiBrain)","Yes","Cell Type"
"15","NA ","Proportion of Endothelia (MultiBrain)","Yes","Cell Type"
"16","time sample in transit (minutes)","PMI (hours)","Yes","Sequencing metrics"
"17","Sample.Characteristic.block.","Sequencing Batch","Yes","Sequencing metrics"
"18","Sample.Characteristic.Ontology.Term.block.","Block","Yes","Sequencing metrics"
"19","recount_qc.aligned_reads..chrm","Chimeric Pairs","Yes","Sequencing metrics"
"20","recount_qc.aligned_reads..chrx","Percent aligned ChrX","Yes","Sequencing metrics"
"21","recount_qc.aligned_reads..chry","Percent aligned ChrY","Yes","Sequencing metrics"
"22","recount_qc.bc_auc.all_.","AUC all percentage","Yes","Sequencing metrics"
"23","recount_qc.bc_auc.unique_.","AUC unique percentage","Yes","Sequencing metrics"
"24","recount_qc.bc_frag.mode_length_count","Mode Fragment Length Count","Yes","Sequencing metrics"
"25","recount_qc.exon_fc.all_.","Exonic Rate","Yes","Sequencing metrics"
"26","recount_qc.exon_fc_count_all.assigned","Total fragments assigned exon fc","Yes","Sequencing metrics"
"27","recount_qc.exon_fc_count_unique.total","Total fragments count unique exon fc","Yes","Sequencing metrics"
"28","recount_qc.exon_fc_count_unique.assigned","Total fragments count unique assigned exon fc","Yes","Sequencing metrics"
"29","recount_qc.gene_fc_count_all.assigned","Total Assigned Gene","Yes","Sequencing metrics"
"30","recount_qc.intron_sum_.","Intronic Rate","Yes","Sequencing metrics"
"31","recount_qc.star.._of_reads_mapped_to_multiple_loci","Percentage mapped multi loci STAR","Yes","Sequencing metrics"
"32","recount_qc.star.._of_reads_mapped_to_too_many_loci","Percentage mapped too many loci STAR","Yes","Sequencing metrics"
"33","recount_qc.star.._of_reads_unmapped._other","Percentage unmapped other STAR","Yes","Sequencing metrics"
"34","recount_qc.star.all_mapped_reads","Reads Mapped","Yes","Sequencing metrics"
"35","recount_qc.star.number_of_input_reads","Total N Reads","Yes","Sequencing metrics"
"36","recount_qc.star.uniquely_mapped_reads_.","Mapping Rate","Yes","Sequencing metrics"
"37","recount_qc.star.uniquely_mapped_reads_number","Mapping Rate unique","Yes","Sequencing metrics"
"38","recount_qc.junction_count","Junction count","Yes","Sequencing metrics"
"39","recount_qc.star.all_mapped_reads_both","Mapped Pairs","Yes","Sequencing metrics"
"40","recount_qc.star.._mapped_reads_both","Mapping Rate both","Yes","Sequencing metrics"
"41","recount_qc.star.._reads_mapped_to_multiple_loci_both","Percentage mapped multi loci both STAR","Yes","Sequencing metrics"
"42","recount_qc.star.._reads_mapped_to_too_many_loci_both","Percentage mapped too many loci both STAR","Yes","Sequencing metrics"
