OriginalColumnName ,BITColumnName,Include (Yes/No) - Interest,Type
individualID,SampleID,Yes,Sample charactertics
diagnosis,Diagnosis,Yes,Phenotype
sex,Sex,Yes,Phenotype
ethnicity,Ethnicity,Yes,Phenotype
ageDeath,Age (Numeric),Yes,Phenotype
Adult.Ex1,Adult Ex1 (PsychENCODE),Yes,Cell Type
Adult.Ex2,Adult Ex2 (PsychENCODE),Yes,Cell Type
Adult.Ex3,Adult Ex3 (PsychENCODE),Yes,Cell Type
Adult.Ex4,Adult Ex4 (PsychENCODE),Yes,Cell Type
Adult.Ex5,Adult Ex5 (PsychENCODE),Yes,Cell Type
Adult.Ex6,Adult Ex6 (PsychENCODE),Yes,Cell Type
Adult.Ex7,Adult Ex7 (PsychENCODE),Yes,Cell Type
Adult.Ex8,Adult Ex8 (PsychENCODE),Yes,Cell Type
Adult.In1,Adult In1 (PsychENCODE),Yes,Cell Type
Adult.In2,Adult In2 (PsychENCODE),Yes,Cell Type
Adult.In3,Adult In3 (PsychENCODE),Yes,Cell Type
Adult.In4,Adult In4 (PsychENCODE),Yes,Cell Type
Adult.In5,Adult In5 (PsychENCODE),Yes,Cell Type
Adult.In6,Adult In6 (PsychENCODE),Yes,Cell Type
Adult.In7,Adult In7 (PsychENCODE),Yes,Cell Type
Adult.In8,Adult In8 (PsychENCODE),Yes,Cell Type
Adult.Astrocytes,Adult Astrocytes (PsychENCODE),Yes,Cell Type
Adult.Endothelial,Adult Endothelial (PsychENCODE),Yes,Cell Type
Dev.Quiescent,Dev Quiescent (PsychENCODE),Yes,Cell Type
Dev.Replicating,Dev Replicating (PsychENCODE),Yes,Cell Type
Adult.Microglia,Adult Microglia (PsychENCODE),Yes,Cell Type
Adult.OtherNeuron,Adult Other Neuron (PsychENCODE),Yes,Cell Type
Adult.OPC,Adult OPC (PsychENCODE),Yes,Cell Type
Adult.Oligo,Adult Oligo (PsychENCODE),Yes,Cell Type
structure_acronym,Structure Acronym,Yes,Sample charactertics
ROW_ID,Row_ID,No,Sample charactertics
ROW_VERSION,Row_version,No,Sample charactertics
contributingStudy,ContributingStudy,No,Sample charactertics
individualIDSource,individualIDSource,No,Phenotype
ageOnset,ageOnset,No,Phenotype
causeDeath,Cause of Death,Yes,Phenotype
brainWeight,Brain Weight,Yes,Phenotype
height,Height,Yes,Phenotype
weight,Weight,Yes,Phenotype
ageBiopsy,ageBiopsy,No,Sample charactertics
smellTestScore,smellTestScore,No,Sample charactertics
smoker,smoker,No,Phenotype
notes,Notes,No,Sample charactertics
Capstone_4,Capstone_4,No,Sample charactertics
NA,Period,Yes,Phenotype
NA,Age Interval,Yes,Phenotype
NA,Regions,Yes,Sample charactertics
NA,DonorID,Yes,Phenotype
NA,Proportion of Neurons (MultiBrain),Yes,Cell Type
NA,Proportion of Astrocytes (MultiBrain),Yes,Cell Type
NA,Proportion of Microglia (MultiBrain),Yes,Cell Type
NA ,Proportion of Endothelia (MultiBrain),Yes,Cell Type
NA ,Proportion of Oligodendrocytes (MultiBrain),Yes,Cell Type
