"","Period","`Mito Ratio`","Regions","RIN","`Age (Numeric)`","`Mapping Rate`","`rRNA ratio`","Diagnosis","`Total N Reads`","Sex","Residuals"
"ENSG00000227232",0.486634316484949,0.122489978478461,0.0312867420412442,0.000685865636584535,0.000149524876259869,0.00648287514796775,0.00402846909331171,6.33859173699109e-05,1.28176976987862e-05,0.00110830547540485,0.347057719150748
"ENSG00000278267",0.204609337282821,0.125910228728733,0,0.00146149213974166,0.00462809277205148,0.000225307908872457,2.70234195927006e-05,6.05999965858387e-13,0.000236130062050168,3.29614047822063e-11,0.66290238765257
"ENSG00000269981",0.120656609106941,0.0549265532615014,0,0.0397662194777915,0.000596386806765443,0.0254347645080696,0.000253203447494027,0.026531092291812,6.88449836440952e-05,0.000251085805056476,0.731515240310924
"ENSG00000279457",0.218522698910995,0.210626534408532,0.0537466124384921,0.00135685169162136,5.05476994280125e-05,0.0284271569543754,0.00890800067071993,0.000617926913541339,0.00357936295467994,0,0.474164307357614
"ENSG00000228463",0.11573194855298,0.216606527798129,0.0245245731365022,0.0157409610258319,0.0180399017921658,0.000986071174633365,0.000842823327682951,0,0.00243491472005614,0.00903513031943612,0.596057148152582
"ENSG00000236679",0.0672327455618322,0.269268962577698,0,0.0101732098574455,0.0119106169328443,0.00616276010609173,0.00253363506736797,0.00673970593090828,4.97855070697425e-05,0,0.625928578458742
"ENSG00000225972",0,0.00554898391701555,0,0.00118042094349632,0.0006982693582189,0.000899165278781642,0.0118937021799028,0,0.00142956559075068,0.00655940109690318,0.971790491634931
"ENSG00000225630",0.711033081119271,0.0470522660702832,0.0258178173277538,0.0105699600549317,0.00146276927078329,0.00999809982072025,0.000171140910451905,2.95015478411797e-11,0.000193030613714724,1.56808189733171e-10,0.193701834625781
"ENSG00000237973",0.177483512152757,0.0101830146927392,0,5.68808120374746e-06,6.56323977742804e-05,0.00404253399299884,0.000926039200607873,3.31338166643189e-15,9.93820736462152e-07,0.00137655986229464,0.805916025798885
"ENSG00000278791",0,0.0109551665856485,0,2.31908748596708e-05,1.32292393611647e-08,0.000233936296890083,0.000971820938124781,0,0.000666491757869156,0.00203796982162311,0.985111410495745
"ENSG00000229344",0.321158265613672,0.037798527345781,0,0.00493078400514038,0.00207886306487122,0.00714533845963381,0.00714149007375031,0,0.00273413177888843,0.00581965954289513,0.611192940115368
"ENSG00000248527",0.538946646167382,0.10490072538605,0.00681176080507231,0.017157642373024,0.000329818104084588,0.014895065820987,0.000113393873628982,0,4.26307530122031e-05,0,0.316802316716759
"ENSG00000198744",0.23146063174727,0.0415633676775108,0.0234931625234514,0.000613157674887595,0.000184173339210792,0.00788257403795132,0.000771873975063214,0.00260119633699009,0.0031732374773538,1.16326058455427e-12,0.688256625209148
"ENSG00000223181",0.0170206099525778,0.0186121123106209,0,6.67270991436819e-05,0.00237782428924607,0.00489316835507672,5.92590337887405e-07,0.0108576770151132,0.0101095486888136,7.2306833920603e-10,0.936061738976002
"ENSG00000237491",1.33569483564121e-17,0.45596957115117,0,0.0710769120885236,0.00389335805126814,0.00346999785510394,0.000327521637539225,0.0196254685344916,0.000129919786613747,0.00361502232861228,0.441892228566677
"ENSG00000230092",0.442574343046048,0.196838868475185,0,0.00180212202902305,0.0187598381562913,0.000846003088871018,0.000175516006159753,6.72937923506827e-12,0.000451175418446664,0.00788246424216882,0.330669669531078
