"","OriginalMetadataColumnName","BITColumnName","Include (Yes/No) - Interest","Type"
"1",NA,"Age Interval","Yes","Phenotype"
"2",NA,"Age (Numeric)","Yes","Phenotype"
"3",NA,"Period","Yes","Phenotype"
"4","donor_name","DonorID","Yes","Phenotype"
"5","gender","Sex","Yes","Phenotype"
"6","Ethnicity","Ethnicity","Yes","Phenotype"
"7",NA,"Diagnosis","Yes","Phenotype"
"8","structure_acronym","Structure Acronym","Yes","Sample characteristics"
"9",NA,"Regions","Yes","Sample characteristics"
"10","SampleID","SampleID","Yes","Sample characteristics"
"11",NA,"Proportion of Neurons (MultiBrain)","Yes","Cell Type"
"12",NA,"Proportion of Astrocytes (MultiBrain)","Yes","Cell Type"
"13",NA,"Proportion of Microglia (MultiBrain)","Yes","Cell Type"
"14","NA ","Proportion of Oligodendrocytes (MultiBrain)","Yes","Cell Type"
"15","NA ","Proportion of Endothelia (MultiBrain)","Yes","Cell Type"
"16","Hemisphere","Hemisphere","Yes","Sample characteristics"
"17","RIN","RIN","Yes","Sequencing metrics"
"18","Dissectionscore","Dissection Score"," Yes","Sequencing metrics"
"19","PMI","PMI (hours)","Yes","Sequencing metrics"
"20","pH","pH","Yes","Sequencing metrics"
