"","OriginalMetadataColumnName","BITColumnName","Include (Yes/No) - Interest","Type"
"1","SAMPID","SampleID","Yes","Sample characteristics"
"2","AGE","Age Interval","Yes","Phenotype"
"3",NA,"Period","Yes","Phenotype"
"4","SUBJID","DonorID","Yes","Phenotype"
"5","DTHHRDY","Hardy Scale","Yes","Phenotype"
"6","SEX","Sex","Yes","Phenotype"
"7",NA,"Diagnosis","Yes","Phenotype"
"8","SMTSD","Structure Acronym","Yes","Sample characteristics"
"9","SMTS","Regions","Yes","Sample characteristics"
"10","SMATSSCR","Autolysis Score","Yes","Sample characteristics"
"11","SMNABTCH","Sequencing Batch","Yes","Sample characteristics"
"12","SMNABTCHT","Type of Batch","Yes","Sample characteristics"
"13","SMNABTCHD","Date of Batch","Yes","Sample characteristics"
"14","SMGEBTCH","Genotype or Expression Batch ID","Yes","Sample characteristics"
"15","SMGEBTCHD","Date of Genotype or Expression Batch","Yes","Sample characteristics"
"16","SMCENTER","BSS Collection side code","Yes","Sample characteristics"
"17",NA,"Proportion of Neurons (MultiBrain)","Yes","Cell Type"
"18",NA,"Proportion of Astrocytes (MultiBrain)","Yes","Cell Type"
"19",NA,"Proportion of Microglia (MultiBrain)","Yes","Cell Type"
"20","NA ","Proportion of Oligodendrocytes (MultiBrain)","Yes","Cell Type"
"21","NA ","Proportion of Endothelia (MultiBrain)","Yes","Cell Type"
"22","SMRIN","RIN","Yes","Sequencing metrics"
"23","SMTSISCH","PMI (hours)","Yes","Sequencing metrics"
"24","SMTSPAX","Time spent in PAXgene fixative (mins)","Yes","Sequencing metrics"
"25","SME2MPRT","End 2 Mapping Rate","Yes","Sequencing metrics"
"26","SMCHMPRS","Chimeric Pairs","Yes","Sequencing metrics"
"27","SMNTRART","IntragenicRate","Yes","Sequencing metrics"
"28","SMMAPRT","Mapping Rate","Yes","Sequencing metrics"
"29","SMEXNCRT","Exonic Rate","Yes","Sequencing metrics"
"30","SMGNSDTC","Total Assigned Genes","Yes","Sequencing metrics"
"31","SMMPPD","Reads Mapped","Yes","Sequencing metrics"
"32","SMNTERRT","Intergenic Rate","Yes","Sequencing metrics"
"33","SMRRNANM","rRNA","Yes","Sequencing metrics"
"34","SMRDTTL","Total N Reads","Yes","Sequencing metrics"
"35","SMTRSCPT","Transcripts Detected","Yes","Sequencing metrics"
"36","SMMPPDPR","Mapped Pairs","Yes","Sequencing metrics"
"37","SMNTRNRT","Intronic Rate","Yes","Sequencing metrics"
"38","SMMPUNRT","Mapping Rate unique","Yes","Sequencing metrics"
"39","SMEXPEFF","Expression Profiling Efficiency","Yes","Sequencing metrics"
"40","SMMPPDUN","Mapped Unique (no dup flags)","Yes","Sequencing metrics"
"41","SME2MMRT","End 2 Mismatch Rate","Yes","Sequencing metrics"
"42","SME2ANTI","End 2 Antisense","Yes","Sequencing metrics"
"43","SME2SNSE","End Sense 2","Yes","Sequencing metrics"
"44","SME1ANTI","End 1 Antisense","Yes","Sequencing metrics"
"45","SME1SNSE","End 1 Sense","Yes","Sequencing metrics"
"46","SME1PCTS","End 1 Sense percentage","Yes","Sequencing metrics"
"47","SMRRNART","rRNA ratio","Yes","Sequencing metrics"
"48","SME1MPRT","End 1 Mapping rate","Yes","Sequencing metrics"
"49","SMDPMPRT","Duplication Rate Mapped","Yes","Sequencing metrics"
"50","SME2PCTS","Percentage Intragenic End 2 Reads","Yes","Sequencing metrics"
