"","`rRNA ratio`","Regions","DonorID","`Exonic Rate`","Type of Batch","Hardy Scale","`Mapping Rate`","RIN","`PMI (hours)`","`Total N Reads`","Age Interval","Sex","Residuals"
"ENSG00000227232",0.286973923255536,0.0790029124205982,0.329107707700335,0.066649600713371,1.33603716378224e-09,0.00297606423862451,0.0126332321450418,0.00524720123664002,3.01259871154628e-06,0.00723178085168821,4.97451767091759e-06,8.83084506337668e-07,0.210168705901239
"ENSG00000268903",0.130137117354107,0.0799245102079823,0.360035591771692,0.0129105044419981,0.000966921550248662,0.0694242587040874,0.00165551080726785,0.00947533266198751,9.49261216522766e-05,0.00206881209042521,7.3585563622954e-05,0.00501095719619588,0.328221971528733
"ENSG00000269981",0.188001451702734,0.0687092221187215,0.303004260427789,0.0621270433432751,0.0109659842464843,0.0513286839873221,0.000199278443242218,7.44687937088174e-05,0.000421571973104767,0.000431165972285348,1.94320700346032e-07,6.44173859632339e-07,0.314736030496773
"ENSG00000279457",0.363918701204609,0.178954028197923,0.214703672562256,0.0888670696227593,0.0077144989735113,0.0153498092083707,0.00415666945693939,0.00224990313067449,0.000141580584998381,6.84622825631447e-06,5.59211747189398e-06,8.46823745222781e-07,0.123930781888485
"ENSG00000228463",0.321335540471075,0.100466586467355,0.285861220028086,0.0404236313829602,9.90476648569303e-11,0.00627604025761881,0.00585224914014961,0.00182893231999172,0.00131700139866163,0.000714714031521074,1.84312060834142e-09,0.00481008178051949,0.231114000779892
"ENSG00000225972",0.013928620559076,0.00356158199404532,0.855919396875207,0.000417376312485382,0,0.0129665196853148,0.0132410237374292,0.000744319049075276,0.00354590448916127,0.00106308050973465,4.08047263641367e-06,1.03872481625068e-06,0.0946070575910182
"ENSG00000225630",0.0519504180312311,0.0579253317466309,0.775597576970856,0.00170413569778526,0.0163626866784797,0.000435120245322028,7.01600325658995e-05,0.000322325822243163,0.00797608016735237,1.46406106392502e-05,1.02193380915802e-07,8.12523369599255e-07,0.0876406092801438
"ENSG00000237973",0.123990737618855,0.0597915080817905,0.57756179472291,6.83115701255975e-05,0.00797755532921567,0.00791115737165451,0.0106928629995904,0.00247669747004255,0.000163689209632293,5.63682777713669e-05,5.71582351428168e-06,2.15440215232431e-06,0.209301447122746
"ENSG00000229344",0.043526877903878,0.0161860343767867,0.476833197711099,7.39385434402772e-06,1.11386959618121e-11,0.0098315469244848,0.0380211016594932,0.0013806633168607,6.22597557544695e-05,0.00485704330790528,9.36911158756449e-11,2.7805869417739e-07,0.40929360302587
"ENSG00000240409",0.0460376894488187,0.0259622804928348,0.447826077871133,0.00395698012245584,0.0303864126880141,0.0157263737585718,0.0198992845844348,7.19993103371331e-05,1.21941536638923e-06,2.36239879085199e-06,1.09064446396762e-08,2.54773581918986e-06,0.410126761266979
