"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"1","ERR1472952",0.442415843613017,0.00197295920067269,0.0851782377898577,0.0295434207622524,0.4408895386342
"2","ERR1472953",0.619872104829828,0.00241421229657825,0.0358159568238164,0.0113514796802073,0.33054624636957
"3","ERR1472954",0.677134939489877,0,0.0411530657461567,0.0183922598562791,0.263319734907687
"4","ERR1472955",0.625399426016178,0.00898169988765818,0.0351020215602256,0.00978900315207915,0.320727849383859
"5","ERR1472956",0.625533104480506,0,0.0329654569124297,0.0173103770881519,0.324191061518913
"6","ERR1472957",0.599682753960051,0.0214671974569386,0.0465873220653315,0.0195802503864348,0.312682476131244
"7","ERR1472958",0.616745701019237,0,0.0624031813130093,0.0161453142752431,0.30470580339251
"8","ERR1472959",0.710396232757398,0,0.0266626940471607,0.00366992709332301,0.259271146102118
"9","ERR1472960",0.681749657949015,0,0.0241400105575904,0.0123356640354019,0.281774667457993
"10","ERR1472961",0.679056553938795,0.0105784857131066,0.0314781788474321,0.00875054110501019,0.270136240395656
"11","ERR1472962",0.668653484994187,0.0104661766456609,0.0349834729291785,0.0133996977247835,0.27249716770619
"12","ERR1472963",0.713486555773207,0.00727749126005208,0.0343108021735077,0.0408855651680985,0.204039585625135
"13","ERR1472964",0.68792871600864,0.0121485438358652,0.0104139400397826,0.084962039027951,0.204546761087761
"14","ERR1472965",0.747338148585525,0,0.040452069715185,0.0757734469343687,0.136436334764922
"15","ERR1472966",0.714480455113792,0,0.0857396256020022,0.0896312575088463,0.110148661775359
"16","ERR1472967",0.599222110636537,0.00404446875549489,0.0277423791487632,0.0055128346889577,0.363478206770247
"17","ERR1472968",0.80647105141907,0,0.0178029514961922,0,0.175725997084738
"18","ERR1472969",0.535153020917595,0,0.0312433691626523,0,0.433603609919752
"19","ERR1472970",0.630742046442775,0,0.0337806190844834,0.00425844830755447,0.331218886165187
"20","ERR1472971",0.619938204402521,0.00428070148525417,0.038667089039947,0.026034879584491,0.311079125487787
"21","ERR1472972",0.807028280509527,0,0.0265139895839067,0,0.166457729906566
"22","ERR1472973",0.665171776436527,0.00916591266018251,0.0678996082156593,0.00492228265127613,0.252840420036355
"23","ERR1472974",0.778506058334184,0.000948840614795057,0.0323269641761767,0.00445807101731804,0.183760065857526
"24","ERR1472975",0.739019744935682,0.00573478582535217,0.0213954905473714,0.00499407839923966,0.228855900292355
"25","ERR1472976",0.755007855771342,0.00530001885076447,0.0244086369399984,0.00290757450913233,0.212375913928763
"26","ERR1472977",0.836807162709946,0,0.0167084838687254,0,0.146484353421328
"27","ERR1472978",0.713032253132144,0.0211325593557661,0.0474999707093191,0.0126902414268639,0.205644975375907
"28","ERR1472979",0.805120937893813,0,0.0553514833712862,0.0145649686524238,0.124962610082477
"29","ERR1472980",0.83479393935685,0,0.0208610165011502,0,0.144345044141999
"30","ERR1472981",0.476984677720468,0.0599482418183327,0.0393034082202541,0.0330397663100723,0.390723905930872
