"","Regions","DonorID","Sequencing Batch","Age Interval","`Intronic Rate`","`Mapping Rate`","Hemisphere","`PMI (hours)`","`Total N Reads`","Sex","Residuals"
"ENSG00000278267",0.00149427466357156,0.151500346817847,0.509380402425111,0.00158411877201152,0.101733204662406,0.030790538012093,3.63690042696489e-11,0.0158148706402076,0.00109090279679052,5.6421264557591e-10,0.18661134060938
"ENSG00000227232",0,0.125749528940138,0.635353072310909,0.0207241424382388,0.0476201973322113,0.00756457761554449,0.000110912800003345,0.00187349108538587,0.000767499662691706,8.9730778979538e-13,0.160236577813981
"ENSG00000284332",0.00449459605912555,0.0251370274713546,0.00191724309915056,7.10179327857595e-14,0.14531028018143,0.0242639078159783,0.00917009074724477,0.00244256932252337,0.000428878584230875,0.00114787476109427,0.785687531957797
"ENSG00000243485",0.0167510714450366,0.166317534760178,0.127415077096492,0.00719445042378875,0.0564087443829495,0.113852442535381,0.0800367972373144,0.015790557236207,0.00351228889925858,6.60137749187967e-11,0.412721035917379
"ENSG00000268903",0.0406848631005891,0.188624545386543,0.392285487193255,0.00932958075681918,0.0302115963081293,0.0130212447393639,0.00879630947606613,0.0252091482541638,5.48826133830348e-06,6.08675138030913e-12,0.291831736517646
"ENSG00000269981",4.06696242155048e-11,0.102105656217145,0.589668308435327,0.076562471231142,0.064293991370782,0.00133147640668338,0.000448804932328252,0.00741415955883781,3.87328390730546e-07,0.0311308960668919,0.127043848411802
"ENSG00000239906",0.0210922061776027,0.191487203240113,0.0296742377475458,0.036917318282335,0.20821255533413,0.027162265211396,0.00518030834787624,0.0142731474822539,0.00185720788048435,0.0109802602895911,0.453163290006673
"ENSG00000273874",0.00328297925776721,0.224777151638562,0.221002799150202,0.0114326840739092,0.214210558882422,0.0498929197083209,0,0.0215239771702717,0.00164319682431065,3.48547941337054e-15,0.252233733294231
"ENSG00000279457",0,0.0776968962607854,0.66293723840729,0.0454935366231912,0.0390067802442869,0.000136109289881749,0.0022375148124959,0.00242277762201286,0.000112690004512162,2.44498416489784e-10,0.169956456491046
"ENSG00000241670",0.15825091381341,0.568235871429816,0.0028373591418809,0.037062393390681,0.0026836707277222,0.0225236815723864,0.00140761420761994,0.0137277242557015,0.000151980775292239,0,0.193118790685489
"ENSG00000228463",0.130567366948619,0.418985702674706,0.026950527239279,0.118389329177774,0.0235601679655751,0.0671452986931715,0.00533214311790401,0.0118748973367631,0.00402421470627236,0.00461986761508573,0.188550484524849
"ENSG00000236679",0.0711311786201487,0.361566040053774,0.00554321708030075,1.24298945899985e-11,0.00161591970449414,0.00147421982503371,0,0.0017901677557316,0.000370525330386926,9.24810343451422e-14,0.556508731617608
"ENSG00000250575",0,0.0664210656943681,0.69154481216996,0.047381379841919,0.0791916708046285,0.00362782992317303,0,0.0047821654957718,0.000108999053679225,3.08997974763451e-10,0.106942076707502
"ENSG00000237094",0.0178421859595718,0.157546109706837,0.180833192984129,4.70560791670926e-11,0.357471044754208,0.0968419166727349,0,0.0121489200005374,0.00470138416418178,0.00144693408327549,0.17116831162747
"ENSG00000225972",0.0724098802879961,0.641532352662224,0.0637118599509072,6.99380488481249e-12,0.0675381370784085,0.0247307499975962,0.00520436008997748,0.0136942103765835,0.000187549709492356,3.79947294347204e-11,0.110990899801826
"ENSG00000225630",0.0587704083418216,0.286948322415179,0.0393643545508885,0.0727658486144759,0.0249826655381072,0.0193932289588428,3.16998407970105e-12,0.00285853487818886,0.00191437393796809,0.355562366803127,0.137439895958231
"ENSG00000278791",0.0121310386303392,0.865808856461977,0.0366551262169335,1.78149043235016e-10,0.0105359419634917,0.00083025210671656,2.13549319285286e-11,0.034385475242378,6.06567618043058e-05,0,0.0395926524168555
"ENSG00000237973",0.0554981101379506,0.3506927022998,0.0680160608697111,0.0330334602759494,0.0741355971266151,0.000337935841746479,2.48764733284884e-12,0.0548370383094697,0.000246824942246403,0.254647836047457,0.108554434146567
"ENSG00000229344",0.0181301935124397,0.747444359364764,0.120158826708415,2.05304267163824e-11,0.00995504198305554,0.00123102976455167,7.72067335122669e-11,0.0123168190284707,0.000730232581308723,2.819635449442e-13,0.0900334969589751
"ENSG00000240409",0.0270231531363641,0.449546593304549,0.0388943811697839,0.000478339419256544,0.0252452306987415,0.0241564227570607,0,0.00231637163104232,0.00293890416272115,0.264641363470505,0.164759240249976
"ENSG00000248527",0.0598821958554981,0.390360510198709,0.131200284744412,6.88355683845059e-07,0.121670740183957,0.00256627512391419,4.5549785376524e-13,0.00431799455487525,0.000259875027637019,0.122821174050604,0.166920261904254
"ENSG00000198744",0.0282308357763767,0.420902660272069,0.208281822730408,1.51274283290084e-13,0.0583572303233949,0.0320826443947574,1.41701208320587e-13,0.0118786230694329,0.00405470096158696,0.076908231689631,0.159303250782051
"ENSG00000283574",1.85689089364175e-11,0.0527483559178224,0.0311474544249983,4.54053150805947e-12,0.174328740525245,0.0752978623040619,2.02334441015797e-11,0.000432527267833971,0.00146554311301815,3.1895579958446e-12,0.664579516400488
"ENSG00000229376",0.0396307849019275,0.06785498013887,0.249885503889903,0.0191257410775632,0.383657786361033,0.0504581724629668,0.00208511946592441,0.0103118815579929,0.0039176174365441,4.24986539752209e-12,0.173072412703026
"ENSG00000228327",0,0.179755062828343,0.33511467442124,0.0461765861487108,0.271711779240819,0.0384500194508535,2.17020376681794e-12,0.0102606612987365,0.000763143925793891,2.18536741352625e-08,0.117768050829659
"ENSG00000237491",0.0786046217649312,0.172458829559396,0,0.00459370886920108,0.499517522079421,0.08801797368667,0.00215023481328058,0.00292016946582281,0.000127613876527199,1.19575589542316e-12,0.151609325883554
"ENSG00000230092",0.0187430122557399,0.205420465196462,0.0558169347938531,0.00571074352373002,0.306787709670834,0.138681609618881,5.59052542320513e-12,2.31836907615493e-06,0.00472438979532048,1.7967357217563e-11,0.264112816752546
"ENSG00000225880",0.0225024640904438,0.248719712575299,0.0573255147310156,0.0252040290196878,0.213292051090571,0.0884115395637475,5.24710876047396e-14,0.0440530291409672,0.00351558405587632,0.0815754078666481,0.215400667865692
"ENSG00000228794",0.477065851976931,0.0850627615786278,0.0200153047781624,0.0926654773175247,0.00771718864177669,0.0934743158898971,0.0234152652050355,0.000243671794298039,0.00101274898775459,0,0.199327413829992
"ENSG00000230699",0.113857736464687,0.117504603067182,0.307193541116313,0.0959010091588854,0.0601783202756035,0.0440040119302707,0.0334534340118061,0.00687453992904749,0.00017167405163605,2.28667999830865e-11,0.220861129971702
"ENSG00000241180",0.116028582253617,0.119259728913625,0.310630525330247,0.0988945772656664,0.0275544320729703,0.0113462538174125,0.0386245101346861,0.00726440747847032,2.95284986672347e-05,2.33577001199024e-10,0.270367454001061
"ENSG00000272438",0.0756765279287561,0.0456842634683909,0.424820410717563,0.0647153649026106,0.0264633640342409,0.0169701563425737,0.0396944069284005,0.0041713980290056,0.000117400364775663,3.48429653753905e-13,0.301686707283335
"ENSG00000223764",0.0637042051607331,0.171779513250346,0.285280031719062,0.175995876166493,0.00390642253703742,0.00343486179520583,0.0564111277481608,0.0096910863413992,9.89361522914834e-06,3.78138701281736e-12,0.229786981662552
"ENSG00000187634",0.166801680318845,0.215887935816028,0.229388967762292,0.158826931784727,0.0127960847135663,0.0152139625850449,0.0245172286455285,1.06421284873506e-07,3.96658128163428e-05,0,0.176527436139868
"ENSG00000188976",0.0654282722991433,0.0364705674261359,0.702402738640886,0.038918601786797,0.00225031855106682,0.0103573074302653,1.30704545286958e-11,0.000375013963624219,0.00068841125320471,0.00216101232706264,0.140947756308744
"ENSG00000187961",0.101565094667725,0.0417304001367922,0.67105945302222,0.04024600523406,0.0243251908627716,0.00484000922795089,1.55078607050199e-10,8.23608128582642e-05,0.000540747987658558,1.10662587413657e-10,0.115610737782222
