"","OriginalMetadataColumnName","BITColumnName","Include (Yes/No) - Interest","Type"
"1","individualID","SampleID","Yes","Sample characteristics"
"2",NA,"Age Interval","Yes","Phenotype"
"3","ageDeath","Age (Numeric)","Yes","Phenotype"
"4",NA,"Period","Yes","Phenotype"
"5","sex","Sex","Yes","Phenotype"
"6","ethnicity","Ethnicity","Yes","Phenotype"
"7","causeDeath","Cause of Death","Yes","Phenotype"
"8","brainWeight","Brain Weight","Yes","Phenotype"
"9","height","Height","Yes","Phenotype"
"10","weight","Weight","Yes","Phenotype"
"11","diagnosis","Diagnosis","Yes","Phenotype"
"12","structure_acronym","Structure Acronym","Yes","Sample characteristics"
"13",NA,"Regions","Yes","Sample characteristics"
"14","individualIDSource","individualIDSource","Yes","Phenotype"
"15",NA,"Proportion of Neurons (MultiBrain)","Yes","Cell Type"
"16",NA,"Proportion of Astrocytes (MultiBrain)","Yes","Cell Type"
"17",NA,"Proportion of Microglia (MultiBrain)","Yes","Cell Type"
"18","NA ","Proportion of Oligodendrocytes (MultiBrain)","Yes","Cell Type"
"19","NA ","Proportion of Endothelia (MultiBrain)","Yes","Cell Type"
"20","Adult-Ex1","Adult Ex1 (PsychENCODE)","Yes","Cell Type"
"21","Adult-Ex2","Adult Ex2 (PsychENCODE)","Yes","Cell Type"
"22","Adult-Ex3","Adult Ex3 (PsychENCODE)","Yes","Cell Type"
"23","Adult-Ex4","Adult Ex4 (PsychENCODE)","Yes","Cell Type"
"24","Adult-Ex5","Adult Ex5 (PsychENCODE)","Yes","Cell Type"
"25","Adult-Ex6","Adult Ex6 (PsychENCODE)","Yes","Cell Type"
"26","Adult-Ex7","Adult Ex7 (PsychENCODE)","Yes","Cell Type"
"27","Adult-Ex8","Adult Ex8 (PsychENCODE)","Yes","Cell Type"
"28","Adult-In1","Adult In1 (PsychENCODE)","Yes","Cell Type"
"29","Adult-In2","Adult In2 (PsychENCODE)","Yes","Cell Type"
"30","Adult-In3","Adult In3 (PsychENCODE)","Yes","Cell Type"
"31","Adult-In4","Adult In4 (PsychENCODE)","Yes","Cell Type"
"32","Adult-In5","Adult In5 (PsychENCODE)","Yes","Cell Type"
"33","Adult-In6","Adult In6 (PsychENCODE)","Yes","Cell Type"
"34","Adult-In7","Adult In7 (PsychENCODE)","Yes","Cell Type"
"35","Adult-In8","Adult In8 (PsychENCODE)","Yes","Cell Type"
"36","Adult-Astrocytes","Adult Astrocytes (PsychENCODE)","Yes","Cell Type"
"37","Adult-Endothelial","Adult Endothelial (PsychENCODE)","Yes","Cell Type"
"38","Dev-Quiescent","Dev Quiescent (PsychENCODE)","Yes","Cell Type"
"39","Dev-Replicating","Dev Replicating (PsychENCODE)","Yes","Cell Type"
"40","Adult-Microglia","Adult Microglia (PsychENCODE)","Yes","Cell Type"
"41","Adult-OtherNeuron","Adult Other Neuron (PsychENCODE)","Yes","Cell Type"
"42","Adult-OPC","Adult OPC (PsychENCODE)","Yes","Cell Type"
"43","Adult-Oligo","Adult Oligo (PsychENCODE)","Yes","Cell Type"
