"","individualIDSource","Period","Diagnosis","`Age (Numeric)`","Ethnicity","Sex","Cause of Death","Residuals"
"ENSG00000000003",0.181501169351802,0.613186072961887,0.00643307510753484,0.0041122526879749,0.00511622852519619,0.00111154604638518,0.000938827602412633,0.187600827716808
"ENSG00000000419",0.449766872231531,0,0.00917918345591969,0.00271462158138158,0.00321790988559971,0.000355145968830371,0,0.534766266876738
"ENSG00000000457",0.312780655607063,0.286399283978835,0.0100288718555777,8.07810779630592e-07,0.00188567094940392,0,4.36130918770589e-05,0.388861096706464
"ENSG00000000460",0.0739242311766085,0.639288305549072,0.0112210448101477,0.00910145700301472,0.00335426556320401,0.00133725391845339,0.00158268427595997,0.26019075770354
"ENSG00000000938",0.379585670293615,4.50570997118226e-11,0.016325157301791,0.0387491492610453,0.0106358010625128,0.00289104706150122,0.0116957214171144,0.540117453557363
"ENSG00000000971",0.410329713123271,0,0.030892506436417,0.0524220477168747,0.0146276045147964,0.00322322410581582,0.0018865347853675,0.486618369317458
"ENSG00000001036",0.515323038577189,1.56386267908652e-12,0.0173153950783848,0.000837559627184136,0.0111315477641103,0.00179294361179538,0,0.453599515339772
"ENSG00000001084",0.362585085625088,0.0667579240464757,0.0200138338563348,0.00455438770162015,0.00765467004590737,0.00099333510781589,0,0.537440763616758
"ENSG00000001167",0.21250857437506,0.472691230875432,0.0142641782812362,0.00336561929571296,0.00147196716241922,0.000834913391094065,2.00657338603517e-13,0.294863516618845
"ENSG00000001460",0.324660261371497,0.395835945928028,0.00421997617533098,0.00143870149500689,0,3.23034582073181e-11,0,0.273845114997834
"ENSG00000001461",0.126392095302359,0.714592122634902,0.00374647862569244,0.00056420288807994,0.00203573015715522,6.93185597920832e-13,9.03484755348389e-13,0.152669370390214
"ENSG00000001497",0.499074573345885,0.158778638715071,0.00869547534355888,0.00699785132371667,0,0.00024012128847393,4.83794635631514e-14,0.326213339983246
"ENSG00000001561",0.375073167256689,0.104910532666853,0.0131242550907241,0.000782215108916922,0.00256473800716554,0.000473315333352974,0,0.503071776536298
"ENSG00000001617",0.155669196656837,0.693151117215262,0.00406492935804722,0.00219485903018105,0.0010006559868819,1.28104901028684e-11,0.000564655692300667,0.14335458604768
"ENSG00000001629",0.404922414959199,3.29823426158018e-11,0.0203566448587055,0.000831848029855211,0.0158686037547037,0.0011547179751472,0,0.556865770389407
"ENSG00000001630",0.383295544174171,0.192010884482223,0.0091850080740825,0.00385998688160432,0.0118615999121203,3.98812950354894e-11,0,0.399786976435918
"ENSG00000001631",0.358058805868225,0.0564817158106146,0.0179681797002154,0.00290296008840872,0.00245171949144228,0.000664799073122926,1.35428055242133e-12,0.561471819966617
"ENSG00000002016",0.213753200982719,0.25007468576025,0.0406977807607242,0.0168611374516091,0,0,0,0.478613195044698
"ENSG00000002330",0.653837247931644,3.25868811735634e-10,0.00503733256422469,0.0158870537218769,0.0115636804196255,0,0,0.31367468503676
"ENSG00000002549",0.417796808940896,0,0.0186344741684579,0.00305959070060063,0.0065747409735601,0.000774641694099047,0.00722931532037094,0.545930428202015
"ENSG00000002586",0.468341675931489,0,0.0194203365272289,0.0404496398743171,0.00534993566830979,0.0594559660259107,0.00368241218448505,0.403300033788259
"ENSG00000002587",0.252496151298491,0.517829396922489,0.00337390254684547,0.0145474715093999,0,0.000464964979576082,0.00134499564968251,0.209943117093516
"ENSG00000002746",0.242833220344108,1.5320507801949e-11,0.0091039977372544,0.000122762260080385,0,0.0011541701536108,0,0.746785849489625
"ENSG00000002822",0.519238800641442,0,0.0158503697645013,0.000169237608894607,0.0162644222701751,3.6384900228552e-17,0,0.448477169714987
"ENSG00000002834",0.54304245838878,0.0418397832064918,0.00945459834456984,0.0135092178477126,7.607664984784e-15,1.59347340149905e-13,0,0.392153942212279
"ENSG00000002919",0.551583704532913,2.39083933480261e-11,0.0119416723432972,0.00146599617070277,4.24788054675223e-12,1.72187239562037e-12,6.08954139168023e-12,0.43500862691712
"ENSG00000002933",0.355934387489476,0.242081864147778,0.025259754797515,0.0308049993150756,6.47600142918077e-14,0.00652606199135193,0.00372883178980234,0.335664100468936
"ENSG00000003056",0.50846997980624,2.32853636371437e-10,0.0110308139333558,3.42339184287357e-06,0.00582463920611769,5.55615823227665e-14,0,0.474671143429534
"ENSG00000003096",0.223459350020495,0.420630042737972,0.00739475226323332,0.011407339716345,0.00817615726711645,1.29118798354937e-10,7.54084414564691e-12,0.328932357858179
"ENSG00000003137",0.269038510226536,0.419008009962642,0.00270981455639742,0.0241430574969511,5.57309144947316e-13,0,0,0.285100607756916
"ENSG00000003147",0.352237543102543,0.0804468861519937,0.0108827183538465,0.000370574156983693,3.20007243123017e-12,0,6.82664826328832e-14,0.556062278231365
"ENSG00000003249",0.594458020210582,5.88988666740324e-11,0.0062348305268469,0.00894960561775471,0.00486805376197134,5.95703039124589e-10,0,0.385489489228243
"ENSG00000003393",0.341781366894424,2.58796313826581e-08,0.0198217419514608,0.000254058030281268,0,9.42752113859356e-13,6.6142790272221e-11,0.638142807177117
"ENSG00000003400",0.221485577149124,2.77497667259553e-11,0.0323823398631813,5.17062437803942e-05,0.00353500274902816,0.00226718183831875,0.012413798187956,0.727864393940861
"ENSG00000003402",0.295954045765027,0,0.0500722055425085,0.00734068824369566,0.002762241325332,0.00751443339220685,0.00697320270935766,0.629383183021872
"ENSG00000003436",0.0951139310494238,0.682209546721351,0.00741799162202691,0.00411891660464814,0.00310176459607693,0.00114903517026725,0,0.206888814236206
"ENSG00000003509",0.324039840374171,0.161051715993007,0.0148108694170567,8.9016081541212e-05,4.95853338256815e-14,0.00030415801849912,0,0.499704400115675
"ENSG00000003756",0.260761280825834,0.375484226721732,0.0214204051199692,0.004209738251963,0,5.51066272802413e-14,0,0.338124349080447
"ENSG00000003987",0.382740811993702,0,0.00956153178257251,0.00274535461124001,0.0011213650471189,0,0,0.603830936565367
"ENSG00000003989",0.205173027351789,0,0.0417849729382602,0.101729307307791,0.00614401217302315,0.00128367031122451,0.0121776035430417,0.631707406374871
"ENSG00000004059",0.559590200870329,0,0.00540065432322442,0.0192225254825367,4.56620360404793e-11,2.32083379229701e-12,1.31640911185677e-11,0.415786619262763
"ENSG00000004139",0.392576650023132,0.234802838437634,0.00565261400932777,0.00126788462505642,0,1.17205163242503e-12,0,0.365700012903678
"ENSG00000004142",0.630278506216871,3.88846187927754e-12,0.00873113889085077,0.00127261124589848,5.96107833968406e-11,0,0,0.359717743582881
"ENSG00000004399",0.358179956224725,0.323142697190143,0.0114450864532942,0.00157003141964991,5.98067215543413e-13,0.00140550107609708,0.000999205033854644,0.303257522601638
"ENSG00000004455",0.488070874584983,0.0289803145055862,0.019953215560754,0.00597763058519856,0.0111015679846264,0.00187409594447235,1.35826800870851e-11,0.444042300820796
"ENSG00000004468",0.0618368374119887,0.402530969002329,0.0050628937461669,4.02429140331945e-06,0.025008457660484,0.000274401425912943,0.00112374301791131,0.504158673443804
"ENSG00000004478",0.459976659253186,0,0.0151057535190785,0.00307309823560416,0.000479620137513197,0,0,0.521364868854618
"ENSG00000004487",0.201948984792356,0.598670442753356,0.00527651734988369,0.000164004925485619,0,7.6080991128011e-13,0,0.193940050178158
"ENSG00000004534",0.289995194035081,0.343244593620267,0.0297254740161548,0.00683101690469634,0,1.53090996624095e-13,0.00282563025969214,0.327378091163955
"ENSG00000004660",0.249022175354742,0.420804748884346,0.0023291112340186,0.000216340893689091,2.06849219147765e-12,0.00190818177139046,4.30497315277783e-12,0.32571944185544
"ENSG00000004700",0.219088286927496,0.399636574685442,0.0151133268845672,0.00106562942732307,0.00907624139345157,0.000478015979830519,4.69544979864995e-12,0.355541924697194
"ENSG00000004766",0.408581248675956,0,0.0164813530877358,0.00577567305421877,0.00242374413130647,1.90327356894945e-13,1.22194918960243e-12,0.566737981049371
"ENSG00000004776",0.80445802294187,0.0721969047604794,0.00456613312706155,0.00836160400461278,4.55495422273592e-10,0.000137095091375369,0.00478471742849618,0.105495522190609
"ENSG00000004777",0.564463713475893,0.150565839567608,0.0182112245964621,0.00172198663912605,0.00325005514515578,0,0.00191790879306781,0.259869271782687
"ENSG00000004779",0.402491263354992,1.4427253489401e-10,0.0123210628592039,0.0117303940640181,1.63414689108346e-10,5.16604850852583e-07,0.00021461354896825,0.573242149260279
"ENSG00000004799",0.154352933871407,0.205584074669957,0.0214640261351728,0.0560681248346303,0.00199027557459632,0.00958811459947906,0.00781582364429886,0.543136626670458
"ENSG00000004838",0.456033769706187,0,0.00689696896037687,0.0110165505447054,0.00488708024578071,1.62445626212833e-13,0,0.521165630542788
"ENSG00000004848",0.670771813447793,0,0.00108964481133952,0.00259152434208148,0.000279025506275942,0.00309660198732133,0,0.322171389905189
"ENSG00000004864",0.267384307983802,0,0.0157690698061807,0.00888580698380356,0.0248286654731471,0.000498361859973971,0,0.682633787893093
"ENSG00000004866",0.318482577241528,0.313504136355465,0.0132989088896586,0.00502940404140977,0.000198890290228279,0.000803615490088697,0,0.348682467691622
"ENSG00000004897",0.402161003808096,0,0.0134672630265277,0.00269381941065738,0.000831896706053948,0,0,0.580846017048665
"ENSG00000004961",0.386905284988569,0.103361564288905,0.00679673608040836,0.00974173485943024,0,0.00057574688711295,1.58299343276751e-15,0.492618932895573
"ENSG00000004975",0.422325918527304,0.231433586606641,0.0154648815344134,0.00510897311731846,2.92746540943606e-13,0,4.95969960862269e-11,0.325666640164434
"ENSG00000005007",0.511290889187138,6.904522809631e-11,0.0199221044588212,0.00557998625021527,5.09890031151307e-12,5.39096449532505e-05,0,0.463153110384728
"ENSG00000005020",0.147290863757381,0.604242769118099,0.00340977344250143,0.00144652252479368,2.43058775750258e-13,7.11616488384987e-13,0,0.24361007115627
"ENSG00000005022",0.593595485135601,5.33193214850863e-11,0.00791545195523159,0.00276593950977639,0,0,5.23792756489439e-12,0.395723123340834
"ENSG00000005059",0.255867267582581,0.302372687634851,0.00781690801168691,0.000524342518217224,0.030313973087158,0.00146442148159064,0.0033539682736911,0.398286431410225
"ENSG00000005075",0.640096593447905,0,0.0111640981797257,0.000552544279580679,1.76115100526458e-13,0.00106696661938425,1.34770743474308e-13,0.347119797473093
"ENSG00000005100",0.437280522248113,0,0.0130262102936473,0.000495374063008342,3.52188428462155e-12,6.14487616568859e-12,0,0.549197893385565
"ENSG00000005108",0.326793578635359,0.103161210507782,0.0145917936765994,0.0250746770510937,0.00430558219556786,3.36443886581815e-12,1.03590421190784e-10,0.526073157826644
"ENSG00000005156",0.281135079535224,0.224647177846278,0.0172312361523793,3.45706610745133e-07,2.27373683553888e-11,0,0,0.476986160736771
