"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"1","R10424",0.807449961313682,0.156867986871549,0,0.0254044143487617,0.0102776374660071
"2","R12195",0.72943381565849,0.101167707379612,0,0.146281442268015,0.023117034693883
"3","R12198",0.754152265734827,0.128392560069917,0,0.0687482961052563,0.04870687809
"4","R12199",0.755131797834334,0.0843865133996069,0,0.130441470751415,0.0300402180146438
"5","R12200",0.585930337701643,0.174909218913486,0,0.239160443384871,0
"6","R12258",0.736376571677708,0.0548100283299263,0,0.169927915167488,0.0388854848248776
"7","R12259",0.703801029624129,0.131959515098833,0,0.0895789894812633,0.0746604657957747
"8","R12260",0.731252310577821,0.139707592786322,0,0.12606695083016,0.0029731458056968
"9","R12263",0.644035305765781,0.063910952028107,0,0.276214910275487,0.015838831930625
"10","R12264",0.789335899711948,0.102038919885163,0,0.0758780239606097,0.0327471564422792
"11","R12265",0.726387693711124,0.14309631084292,0,0.130515995445957,0
"12","R12266",0.846351956625549,0.0749316626716712,0,0.037814487067468,0.040901893635312
"13","R12276",0,0.204944791523441,0,0.79149516372937,0.00356004474718946
"14","R12277",0.370734920216438,0.520778155058288,0,0.0743394878880711,0.0341474368372036
"15","R12278",0.738103514834643,0.15183148334783,0,0.0734215477274944,0.0366434540900319
"16","R12279",0.585866326282184,0.148889510194982,0,0.256899048878156,0.00834511464467809
"17","R12280",0.774602845478887,0.110246567844308,0,0.0864547324520554,0.0286958542247493
"18","R12281",0.554263251863629,0.150892296254235,0.00172872716115322,0.226037697411971,0.0670780273090119
"19","R12282",0.79193442764235,0.161748342613116,0,0.0304519983780612,0.0158652313664726
"20","R12283",0.729274561568773,0.171471227743237,0,0.077707174158963,0.0215470365290267
"21","R12284",0.735567031768063,0.145937082444337,0,0.0817410835339458,0.0367548022536538
"22","R12285",0.510775120428203,0.301341623177113,0,0.170276166568054,0.0176070898266299
"23","R12286",0.706991579672194,0.128233043517436,0,0.131119583576757,0.0336557932336133
"24","R12287",0.754800140801803,0.0151771464527014,0.00662226462224742,0.186004948308772,0.0373954998144754
"25","R12288",0,0.0954779076425403,0.00596386884065167,0.895178024937643,0.00338019857916522
"26","R12289",0.252169290129476,0.100085066457563,0,0.640443502641196,0.00730214077176492
"27","R12290",0.688785445040656,0.104872285994843,0,0.177455641914646,0.0288866270498549
"28","R12291",0.814546699193508,0.115801388291875,0,0.0333380095968476,0.0363139029177694
"29","R12292",0.808086697209222,0.168313453537772,0,0.0194664203901792,0.00413342886282639
"30","R12293",0.566943653168485,0.0564612374716152,0.00483175147531353,0.333752360745315,0.0380109971392719
"31","R12295",0.698235302404908,0.120685971810583,0,0.140486856319926,0.0405918694645826
"32","R12296",0.675151911772136,0.144489140632981,0,0.16694020097416,0.0134187466207241
"33","R12297",0.700452882437783,0.117445578220639,0,0.145741995305409,0.0363595440361683
"34","R12298",0.4512839338279,0.127186421255357,0,0.421529644916744,0
"35","R12299",0.849158719844775,0.0845412233871629,0,0.01984184698669,0.0464582097813719
"36","R12300",0.541076557326304,0.150384072352314,0,0.308539370321382,0
"37","R12301",0.706017876117067,0.240934927599986,0,0.0219360508522714,0.0311111454306758
"38","R12302",0.722764686350402,0.21835355519053,0.00108384547177429,0.00996622313795704,0.0478316898493366
"39","R12303",0,0.396637001503533,0,0.579000019465758,0.0243629790307095
"40","R12304",0.586928024229196,0.166958356513679,0,0.213617577527371,0.032496041729754
"41","R12305",0.559664571862922,0.159884277758273,0.0229396886682204,0.21465386580685,0.0428575959037351
"42","R12306",0.409853864102451,0.31347428388146,0,0.27667185201609,0
"43","R12307",0.684361965627413,0.134527731194486,0,0.143474478086291,0.0376358250918098
"44","R12308",0.755107523337665,0.141942575503314,0,0.0977506235253854,0.00519927763363565
"45","R12309",0.594152112206467,0.0997697991903269,0,0.286114070336548,0.019964018266658
"46","R12310",0.620119250183216,0.224645853635131,0,0.138326264776076,0.0169086314055768
"47","R12311",0.627388003037659,0.0988730868274836,0,0.259085059274404,0.0146538508604531
"48","R12312",0.747925922690021,0.126377424553837,0,0.0950874583569739,0.0306091943991686
