Structure,Cell Type,DonorID,Regions,Structure Acroynm,Age Interval,Major Cell Type,nCount,nFeature,SampleID
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9462,3676,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,7003,2966,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,5762,2587,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7643,2999,510_Tha_B3
Thal,Thal-RG-1,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6174,3176,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8522,3573,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,10588,4096,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8954,3513,510_Tha_B3
Thal,Thal-RG-1,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6833,3127,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7186,3415,510_Tha_B3
Thal,Thal-ExN-1,510_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,2306,1506,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,12820,4162,510_Tha_B3
Thal,Thal-CycPro,510_donorID,Forebrain,DTH,13-15pcw,Cycling progenitor cell,10156,4029,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,12299,4274,510_Tha_B3
Thal,Thal-RG-3,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4782,2647,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,5766,2975,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,5588,2641,510_Tha_B3
Thal,Thal-InN-4,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8671,3396,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7281,3392,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,5387,2666,510_Tha_B3
Thal,Thal-InN-5,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,7205,3345,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6338,3267,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7453,3314,510_Tha_B3
Thal,Thal-RG-1,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7287,3328,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9506,3679,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9532,3630,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,10009,3512,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4653,2485,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,15145,3875,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9037,3529,510_Tha_B3
Thal,Thal-InN-5,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8079,3548,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,11234,3959,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,4515,2540,510_Tha_B3
Thal,Thal-InN-5,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8264,3549,510_Tha_B3
Thal,Thal-RG-1,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,9396,3626,510_Tha_B3
Thal,Thal-InN-5,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,6261,3016,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8698,3666,510_Tha_B3
Thal,Thal-CycPro,510_donorID,Forebrain,DTH,13-15pcw,Cycling progenitor cell,4430,2465,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4681,2465,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,6140,2996,510_Tha_B3
Thal,Thal-RG-7,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,9220,3765,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,6842,3014,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,7018,2743,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7409,3051,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7316,3611,510_Tha_B3
Thal,Thal-OPC,510_donorID,Forebrain,DTH,13-15pcw,OPC,13517,3969,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,8181,3449,510_Tha_B3
Thal,Thal-InN-4,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,12193,4543,510_Tha_B3
Thal,Thal-RG-6,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,5198,2514,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9984,3877,510_Tha_B3
Thal,Thal-IP,510_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,3772,2085,510_Tha_B3
Thal,Thal-IP,510_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,4908,2333,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,7156,3217,510_Tha_B3
Thal,Thal-RG-7,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6027,2964,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,14648,4062,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6128,3085,510_Tha_B3
Thal,Thal-InN-6,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,15384,4187,510_Tha_B3
Thal,Thal-RG-3,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4674,2518,510_Tha_B3
Thal,Thal-RG-7,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,6381,2927,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3758,2145,510_Tha_B3
Thal,Thal-InN-5,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8826,3545,510_Tha_B3
Thal,Thal-RG-5,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,3752,2167,510_Tha_B3
Thal,Thal-RG-2,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4044,2286,510_Tha_B3
Thal,Thal-RG-1,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,5441,2698,510_Tha_B3
Thal,Thal-InN-1,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3918,2247,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,9629,3654,510_Tha_B3
Thal,Thal-IP,510_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,4334,2373,510_Tha_B3
Thal,Thal-InN-2,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,11030,3966,510_Tha_B3
Thal,Thal-ExN-1,510_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,11436,4224,510_Tha_B3
Thal,Thal-ExN-1,510_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,13475,4766,510_Tha_B3
Thal,Thal-ExN-1,510_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,2304,1600,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,8803,3633,510_Tha_B3
Thal,Thal-RG-3,510_donorID,Forebrain,DTH,13-15pcw,Radial glia,4169,2251,510_Tha_B3
Thal,Thal-OPC,510_donorID,Forebrain,DTH,13-15pcw,OPC,2417,1415,510_Tha_B3
Thal,Thal-InN-3,510_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3560,1921,510_Tha_B3
Thal,Thal-OPC,510_donorID,Forebrain,DTH,13-15pcw,OPC,14138,4238,510_Tha_B3
