"Structure","Cell Type","DonorID","Regions","Structure Acroynm","Age Interval","Major Cell Type","nCount","nFeature"
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9462,3676
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",7003,2966
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",5762,2587
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7643,2999
"Thal","Thal-RG-1","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6174,3176
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8522,3573
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",10588,4096
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8954,3513
"Thal","Thal-RG-1","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6833,3127
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7186,3415
"Thal","Thal-ExN-1","510_donorID","Subcortex","DTH","13-15pcw","Excitatory Neurons",2306,1506
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",12820,4162
"Thal","Thal-CycPro","510_donorID","Subcortex","DTH","13-15pcw","Cycling progenitor cell",10156,4029
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",12299,4274
"Thal","Thal-RG-3","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4782,2647
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",5766,2975
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",5588,2641
"Thal","Thal-InN-4","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8671,3396
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7281,3392
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",5387,2666
"Thal","Thal-InN-5","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",7205,3345
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6338,3267
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7453,3314
"Thal","Thal-RG-1","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7287,3328
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9506,3679
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9532,3630
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",10009,3512
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4653,2485
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",15145,3875
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9037,3529
"Thal","Thal-InN-5","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8079,3548
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",11234,3959
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",4515,2540
"Thal","Thal-InN-5","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8264,3549
"Thal","Thal-RG-1","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",9396,3626
"Thal","Thal-InN-5","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",6261,3016
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8698,3666
"Thal","Thal-CycPro","510_donorID","Subcortex","DTH","13-15pcw","Cycling progenitor cell",4430,2465
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4681,2465
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",6140,2996
"Thal","Thal-RG-7","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",9220,3765
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",6842,3014
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",7018,2743
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7409,3051
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7316,3611
"Thal","Thal-OPC","510_donorID","Subcortex","DTH","13-15pcw","OPC",13517,3969
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",8181,3449
"Thal","Thal-InN-4","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",12193,4543
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",5198,2514
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9984,3877
"Thal","Thal-IP","510_donorID","Subcortex","DTH","13-15pcw","Intermediate progenitor",3772,2085
"Thal","Thal-IP","510_donorID","Subcortex","DTH","13-15pcw","Intermediate progenitor",4908,2333
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",7156,3217
"Thal","Thal-RG-7","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6027,2964
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",14648,4062
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6128,3085
"Thal","Thal-InN-6","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",15384,4187
"Thal","Thal-RG-3","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4674,2518
"Thal","Thal-RG-7","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",6381,2927
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",3758,2145
"Thal","Thal-InN-5","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8826,3545
"Thal","Thal-RG-5","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",3752,2167
"Thal","Thal-RG-2","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4044,2286
"Thal","Thal-RG-1","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",5441,2698
"Thal","Thal-InN-1","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",3918,2247
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",9629,3654
"Thal","Thal-IP","510_donorID","Subcortex","DTH","13-15pcw","Intermediate progenitor",4334,2373
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",11030,3966
"Thal","Thal-ExN-1","510_donorID","Subcortex","DTH","13-15pcw","Excitatory Neurons",11436,4224
"Thal","Thal-ExN-1","510_donorID","Subcortex","DTH","13-15pcw","Excitatory Neurons",13475,4766
"Thal","Thal-ExN-1","510_donorID","Subcortex","DTH","13-15pcw","Excitatory Neurons",2304,1600
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",8803,3633
"Thal","Thal-RG-3","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4169,2251
"Thal","Thal-OPC","510_donorID","Subcortex","DTH","13-15pcw","OPC",2417,1415
"Thal","Thal-InN-3","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",3560,1921
"Thal","Thal-OPC","510_donorID","Subcortex","DTH","13-15pcw","OPC",14138,4238
"Thal","Thal-InN-2","510_donorID","Subcortex","DTH","13-15pcw","Inhibitory Neurons",7116,3219
"Thal","Thal-RG-6","510_donorID","Subcortex","DTH","13-15pcw","Radial glia",4061,2174
