"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"1","GTEX-1117F-3226-SM-5N9CT",0.266917149609475,0.276602601962745,0,0.160059408711374,0.296420839716406
"2","GTEX-111FC-3126-SM-5GZZ2",0.41782933313291,0.16813254111447,0,0.261992077646041,0.152046048106579
"3","GTEX-111FC-3326-SM-5GZYV",0.617492392630081,0.159874513336263,0,0.00300659036193541,0.21962650367172
"4","GTEX-1128S-2726-SM-5H12C",0.466469509676179,0.302529656803119,0,0.0256652306781785,0.205335602842523
"5","GTEX-1128S-2826-SM-5N9DI",0.554880920537058,0.145857240433502,0,0.0972406066597731,0.202021232369667
"6","GTEX-117XS-3026-SM-5N9CA",0.637438485537626,0.0389029768055878,0,0.0527789646325691,0.270879573024217
"7","GTEX-117XS-3126-SM-5GIDP",0.641584725519045,0.109426494788293,0,0.0962383727653569,0.152750406927305
"8","GTEX-1192X-0011-R10a-SM-DO941",0.677473387649367,0.163891585970593,0,0,0.15863502638004
"9","GTEX-1192X-0011-R5a-SM-DNZZA",0.242033723225674,0.377393582105188,0,0.116905335236482,0.263667359432655
"10","GTEX-1192X-0011-R6a-SM-DNZZB",0.284759539485833,0.406196896854299,0,0.0781291355646195,0.230914428095248
"11","GTEX-1192X-0011-R7b-SM-DNZZC",0.0564399899821588,0.353197636666907,0,0.313472323068513,0.276890050282422
"12","GTEX-1192X-0011-R8b-SM-DO11U",0.482873040852741,0.0587248376519426,0.0391874032311063,0.103021939432912,0.316192778831298
"13","GTEX-1192X-0011-R9b-SM-DO934",0,0.0425750954038083,0.0295393133897425,0.601546896260424,0.326338694946025
"14","GTEX-1192X-3126-SM-5N9BY",0.254857081488968,0.213801688267009,0,0.246467066408084,0.28487416383594
"15","GTEX-1192X-3226-SM-5987D",0.605605460539642,0.0860740454365521,0,0.0511537943843109,0.257166699639495
"16","GTEX-11DXW-0011-R1a-SM-DNZZD",0.318810372263616,0.234086286055442,0,0.223089083914542,0.2240142577664
"17","GTEX-11DXW-0011-R3b-SM-DNZZE",0.540664598494706,0.257634973317049,0,0.0223496534027447,0.1793507747855
"18","GTEX-11DXW-0011-R5b-SM-DO11D",0.133770868012432,0.432458108065701,0,0.160351618083222,0.273419405838645
"19","GTEX-11DXW-0011-R6a-SM-DO11N",0.356580609660956,0.063912047636949,0,0.320164521508112,0.259342821193983
"20","GTEX-11DXW-0011-R7b-SM-DO119",0.0566915807417597,0.312018524944284,0,0.251849398410302,0.379440495903654
"21","GTEX-11DXW-1026-SM-5H11K",0.558653868349234,0.198537457208062,0,0.0900649600223154,0.152743714420388
"22","GTEX-11DXW-1126-SM-5H12Q",0.54040678912317,0.25593194441533,0,0.0481935201699826,0.155467746291518
"23","GTEX-11DXY-0011-R10b-SM-DO12C",0.808178791628896,0.0138297251439259,0,0.0198647546233093,0.158126728603868
"24","GTEX-11DXY-0011-R11a-SM-DNZZN",0.758698263566411,0.0842211008592366,0,0.0532175438077543,0.103863091766598
"25","GTEX-11DXY-0011-R5b-SM-DNZZL",0.30518102761092,0.245701032896785,0,0.229803463705984,0.219314475786311
"26","GTEX-11DXY-0011-R6a-SM-DNZZF",0.496459298262003,0.224015001421636,0,0.0638314078626217,0.215694292453739
