"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"1","ERR1472952","8-9pcw","Prenatal","11826_donorID","F","CAU","Forebrain","R",2,"sequencing batch:FC2014_038",2.17,3.08,0.01,130.24,132.58,248186,75.1,38729316,62589023,38729316,38208838,9.12,6.21,0.06,0.03,51568896,53177214,90.76,48264169,97,297617,51568896,6.2,0.1
"2","ERR1472953","8-9pcw","Prenatal","11827_donorID","F","CAU","Forebrain","L",2,"sequencing batch:FC2014_038",1.66,2.3,0.01,126.8,133.02,192644,70.37,25726258,56483062,25726258,25625972,9.42,11.58,0.06,0.03,36560395,37282133,86.48,32242634,98.1,259582,36560395,11.6,0.1
"3","ERR1472954","8-9pcw","Prenatal","11827_donorID","F","CAU","Forebrain","R",2,"sequencing batch:FC2014_038",1.9,2.87,0.01,129.56,133.59,185245,74.57,27389234,49451226,27389234,27032568,8.38,8.32,0.05,0.03,36728569,37757206,88.95,33586076,97.3,272815,36728569,8.3,0.1
"4","ERR1472955","8-9pcw","Prenatal","11846_donorID","F","CAU","Forebrain","L",30,"sequencing batch:FC2014_030",2.16,3.04,0.01,130.32,132.76,227702,74.51,33864292,54994666,33864292,33382117,9.05,6.16,0.06,0.03,45448477,46643320,91.28,42576845,97.4,292235,45448477,6.2,0.1
"5","ERR1472956","8-9pcw","Prenatal","11846_donorID","F","CAU","Forebrain","R",30,"sequencing batch:FC2014_030",2.16,3.05,0.01,130.11,132.79,183532,74.25,27803470,46081344,27803470,27396685,9.16,6.48,0.06,0.03,37444145,38413344,91,34955957,97.5,274488,37444145,6.5,0.1
"6","ERR1472957","8-9pcw","Prenatal","11918_donorID","F","CAU","Forebrain","L",2,"sequencing batch:FC2014_030",1.85,2.91,0.01,128.86,131.93,249098,73.46,32270067,56030670,32270067,31905748,9.47,7.16,0.06,0.03,43930257,44741577,91.02,40725633,98.2,280438,43930257,7.2,0.1
"7","ERR1472958","8-9pcw","Prenatal","11918_donorID","F","CAU","Forebrain","R",2,"sequencing batch:FC2014_030",1.99,2.95,0.01,129.7,133.43,271953,73.9,33800454,60482297,33800454,33442993,8.78,8,0.06,0.03,45739536,46467041,90.44,42023440,98.4,280589,45739536,8,0.1
"8","ERR1472959","8-9pcw","Prenatal","11831_donorID","M","CAU","Forebrain","L",NA,"sequencing batch:FC2014_035",2.07,3.04,0.11,128.93,130.86,200259,70.62,29586215,49434663,29586215,29107716,12.16,5.55,0.07,0.04,41897401,42575619,92.85,39532525,98.4,284432,41897401,5.6,0.1
"9","ERR1472960","8-9pcw","Prenatal","11831_donorID","M","CAU","Forebrain","R",NA,"sequencing batch:FC2014_032",2.19,3.19,0.1,131.67,133.19,282862,77.87,42284756,61844483,42284756,41600066,8.06,4.97,0.06,0.02,54298412,55271732,93.27,51552927,98.2,312469,54298412,5,0.1
"10","ERR1472961","8-9pcw","Prenatal","11845_donorID","M","CAU","Forebrain","R",2,"sequencing batch:FC2014_043, FC2014_117",3.09,2.97,0.11,132.23,134.33,165082,77.05,23735506,36382344,23735506,23359078,7.6,5.66,0.06,0.03,30803798,31320898,92.69,29030062,98.3,261609,30803798,5.7,0.1
"11","ERR1472962","8-9pcw","Prenatal","11845_donorID","M","CAU","Forebrain","R",2,"sequencing batch:FC2014_043, FC2014_117",3.01,2.92,0.1,131.75,134,69234,76.23,9247120,14524327,9247120,9104741,7.95,5.94,0.06,0.03,12130934,12367337,92.15,11396869,98.1,198847,12130934,5.9,0.1
"12","ERR1472963","8-9pcw","Prenatal","11851_donorID","F","CAU","Forebrain","L",4,"sequencing batch:FC2014_066",3.27,3.64,0.01,129.91,131.26,203733,74.6,27087326,40401316,27087326,26700214,9.91,4.56,0.04,0.03,36309357,37275444,92.85,34611192,97.4,205444,36309357,4.6,0
"13","ERR1472964","8-9pcw","Prenatal","11851_donorID","F","CAU","Forebrain","R",4,"sequencing batch:FC2014_066",3.47,3.61,0.01,129.53,130.86,242684,73.49,32333219,48935734,32333219,31894607,10.45,4.55,0.05,0.03,43998961,45303145,92.57,41935774,97.1,226272,43998961,4.6,0.1
"14","ERR1472965","8-9pcw","Prenatal","11873_donorID","F","CAU","Forebrain","L",18,"sequencing batch:FC2014_075",3.82,3.65,0.02,127.67,128.6,182326,70.28,24893919,38374290,24893919,24580362,12.93,3.88,0.04,0.04,35422510,36275980,93.77,34015346,97.6,193027,35422510,3.9,0
"15","ERR1472966","8-9pcw","Prenatal","11873_donorID","F","CAU","Forebrain","R",18,"sequencing batch:FC2014_066",3.28,3.56,0.02,127.14,128.22,297642,71.09,36296430,55891041,36296430,35839739,12.46,4.1,0.04,0.03,51059978,52090646,93.92,48923625,98,218875,51059978,4.1,0
"16","ERR1472967","8-9pcw","Prenatal","11832_donorID","F","CAU","Forebrain","L",3,"sequencing batch:FC2014_071",2.05,3.31,0.02,132.84,134.83,219786,77.05,31762653,48732669,31762653,31325646,8.28,6.07,0.06,0.03,41221900,42164864,91.7,38663768,97.8,272693,41221900,6.1,0.1
"17","ERR1472968","8-9pcw","Prenatal","11832_donorID","F","CAU","Forebrain","R",3,"sequencing batch:FC2014_071",1.74,3.14,0.02,130.14,132.87,216489,74.04,31559423,53862967,31559423,31161175,9.33,6.98,0.06,0.03,42627439,43371385,91.3,39599724,98.3,292059,42627439,7,0.1
