"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"1","HSB123",0.471590103803267,0.097179049013564,0,0.341383260073244,0.0898475871099254
"2","HSB126",0.570820645005309,0,0,0.218459126846703,0.210720228147988
"3","HSB130",0.537112793082174,0.0679386115463681,0.00102978706616512,0.264939049529906,0.128979758775386
"4","HSB135",0.584561914487613,0,0,0.0820235939494613,0.333414491562926
"5","HSB136",0.332929200816141,0.290963671736,0,0.151308361881827,0.224798765566032
"6","HSB145",0.756460068894063,0.0123225851257256,0,0.0915794116018234,0.139637934378388
"7","CMC_MSSM_002",0.679970343140231,0.152038833979907,0,0.104079158207608,0.0639116646722539
"8","CMC_MSSM_003",0.564864118063318,0.165171068457165,0,0.171085114214068,0.0988796992654482
"9","CMC_MSSM_004",0.73791049778142,0.127766693147134,0,0.0652429052290787,0.0690799038423673
"10","CMC_MSSM_005",0.654542716522752,0.126961399171271,0,0.110703270117701,0.107792614188277
"11","CMC_MSSM_006",0.717510221920397,0.107143869300463,0,0.0887712251103289,0.0865746836688109
"12","CMC_MSSM_007",0.640218892013574,0.0848351334112455,0,0.1935146288339,0.08143134574128
"13","CMC_MSSM_008",0.581583558183317,0.103153129693724,0,0.201675767516644,0.113587544606315
"14","CMC_MSSM_009",0.745444539178698,0.115501147197715,0,0.0498190621175049,0.0892352515060819
"15","CMC_MSSM_010",0.663817730782344,0.115010066066583,0,0.147406903417509,0.0737652997335642
"16","CMC_MSSM_011",0.690399200939712,0.0807181324768508,0,0.138484459836521,0.0903982067469164
"17","CMC_MSSM_012",0.689010135786518,0.155572108586481,0,0.0734446988445898,0.0819730567824104
"18","CMC_MSSM_013",0.595102412867104,0.11425091444886,0,0.185705731708595,0.104940940975442
"19","CMC_MSSM_016",0.57922072082051,0.102590093622872,0,0.20942074970975,0.108768435846868
"20","CMC_MSSM_017",0.647480413433407,0.103951842075878,0,0.160282432213836,0.0882853122768795
"21","CMC_MSSM_019",0.584390678176871,0.145929843596891,0.00204636959052262,0.170348336502045,0.0972847721336707
"22","CMC_MSSM_020",0.60150658804252,0.227751687276332,0,0.0874758955737182,0.0832658291074291
"23","CMC_MSSM_021",0.758355240055633,0.0931498704116454,0,0.0648309965095113,0.0836638930232107
"24","CMC_MSSM_022",0.490289622421487,0.109554399816647,0.0193120840815745,0.232476522051371,0.148367371628921
"25","CMC_MSSM_023",0.62907140874166,0.116609558643943,0,0.184147522945912,0.0701715096684847
"26","CMC_MSSM_024",0.660253963995649,0.203011211045227,0.000917679374240561,0.0732025821824906,0.0626145634023932
"27","CMC_MSSM_025",0.321785911065046,0.131368063903321,0,0.468015546951778,0.078830478079855
"28","CMC_MSSM_026",0.544002233220634,0.0679252924695752,0,0.280875516828695,0.107196957481096
"29","CMC_MSSM_027",0.343372541578424,0.176167223601691,0.0013703441654273,0.400304390406181,0.0787855002482779
"30","CMC_MSSM_028",0.590860199135577,0.199170847576227,0,0.137534651187325,0.0724343021008714
"31","CMC_MSSM_029",0.520769576230403,0.0901628244487516,0,0.316829718892462,0.0722378804283829
"32","CMC_MSSM_033",0.347988310633187,0.159142843254655,0,0.420812695884732,0.0720561502274258
"33","CMC_MSSM_035",0.624947485251339,0.0862523456521825,0,0.156037564403945,0.132762604692534
"34","CMC_MSSM_036",0.467187929962144,0.246084352381643,0.0388052062274509,0.122563233936255,0.125359277492507
