"","DonorID","Period","Regions","`Age (Numeric)`","`PMI (hours)`","pH","RIN","`Dissection Score`","Sex","Residuals"
"ENSG00000000003",0.111517421920199,0.41051812495249,0.0825480812188745,0.0678663033840301,0.00739286805660821,0.00378268786059971,0.0154065874718919,9.10433940979751e-06,0.0580579695966479,0.242900851199248
"ENSG00000000419",0.522223326306161,0,0.0155002151007648,0.0180326353869266,0.0499570102477136,0.064787441036665,0.000890700422623689,0.00186195719253152,1.30621913150039e-11,0.326746714293552
"ENSG00000000457",0.0866734598207409,0.428217547247843,0.12650820216616,0.0390089035643975,0.0111553849899865,0.0115025435692575,0.0322010120252496,0.000434870750732171,0.0812255498053766,0.183072526060256
"ENSG00000000460",0.188960056224906,0.514045896118588,0.0444258378382163,0.00687955199311172,0.00205793868523436,0.00106967032151894,0.00338748993707932,0.000430279414853618,0.0454699893526841,0.193273290113808
"ENSG00000000938",0.403837901132426,0.160621568948284,0.0167847719640343,6.6208707371724e-05,0.0388460286415125,0.113188991097703,0.0409934096597869,0.00297500909997259,0.0119740790458333,0.210712031703076
"ENSG00000000971",0.355906472851586,0,0,0.0690753923301963,4.33427268405424e-06,0.011037779151254,0.0293797058031566,0.0328595189182058,0.0186063828399306,0.483130413832987
"ENSG00000001036",0.241849997329295,8.54566520654113e-11,0.108647786780999,0.00575691359421116,0.133729544289853,0.00114830444524955,0.04247896817857,0.00518213378718415,0.0655450570829379,0.395661294426244
"ENSG00000001084",0.174497770896509,0.27104455328574,0.197333504805988,0.0264607898598595,0.0748838461459249,0.014074611706742,0.000852942797410532,0.00475924423706147,0.0174807498609573,0.218611986403808
"ENSG00000001167",0.154192852714056,0.609921531064683,5.67390923379368e-11,0.0157412583336033,0.0551543288608879,0.00151624688735591,0.00709938381355702,0.000476110779283833,0.00828872522033171,0.147609562269503
"ENSG00000001460",0.0598261050916743,0.328505805071061,0.0792713759917593,0.0860965469208231,0.00762591969765768,0.000492397245034868,0.0499488859483899,1.51240607217456e-05,0,0.388217839972878
"ENSG00000001461",0.0563684498459314,0.610917721723057,0.0775465817817331,0.1094818892147,0.00841556879158091,0.00433801059472456,0.00888376746969018,1.25553097461407e-07,0,0.124047885025485
"ENSG00000001497",0.110030609917361,0.259789694381089,0.181989016486458,0.239037580020445,5.83762358600691e-05,0.0132256775658913,0.00265557392482743,0.00181950816994513,0.000686106722666238,0.190707856575458
"ENSG00000001561",0.261077135186727,0.208535693009405,0.0967400689114388,0.137695317069534,0.0823067100286542,0.0176326938156297,0.00334450055168434,5.79702304100605e-05,5.70320912842939e-11,0.192609911139485
"ENSG00000001617",0.0992020990293273,0.384590784168838,0.0120410651187154,0.0196316783498551,0.107345080178261,0.00161475097254076,7.08365081678645e-06,0.00152638058860374,0.0163457067032931,0.357695371239748
"ENSG00000001629",0.519086964337643,3.4789437913566e-12,0.085683206777783,0.0245850917829174,0.0363162457005274,0.0526951834647816,0.000146241086613142,0.000668836460149105,0,0.280818230386107
"ENSG00000001630",0.302901275310718,0.035407193165824,0.15112917323011,0.162123885948315,0.00241057209823186,0.0075063911543364,0.00370250908970037,0.00024651899524805,0.0601494513972648,0.274423029610252
"ENSG00000001631",0.182716645225504,0.13166763815584,0.00544499347190861,0.272529205524538,0.0125689229759953,0.00943477986506958,0.0459884897211474,0.000328631282881938,0.0475504663770178,0.291770227400098
"ENSG00000002016",0.146890653703387,0.317528178927869,0.136421953931649,0.132276469201987,0.000780910872968641,0.0294944067955703,0.00252510072571958,0.00067266804164494,0.0164195872867514,0.216990070512453
"ENSG00000002330",0.194555293801988,0.297672739476843,0.0104501496826894,0.131004190175803,0.000417785600510646,5.51887306065093e-05,0.010546558540815,0.00264851028594214,9.55833991077369e-13,0.352649583703847
"ENSG00000002549",0.272759067956386,0.162267839622206,0.07952106485575,0.0103618669363118,0.0998174826805382,0.0015926492462777,0.0462338177404001,0.00559902191676185,0,0.321847189045368
"ENSG00000002587",0.077687850568347,0.0889418921215493,0.424610409513786,0.0272432434513051,8.84055727047015e-05,0.00501574213290282,0.0594352255715603,0.000375898429294987,0,0.31660133263855
"ENSG00000002746",0.217381109540931,0.0445236057132169,0.179434418022708,0.0685136876255125,0.0856834614165762,0.0240502062846588,0.0814411800144668,0.000304500091536842,4.69685039058553e-11,0.298667831243424
"ENSG00000002822",0.236031193611361,3.44319796355171e-12,1.1121672404771e-10,0.10368196947968,0.20415626719973,0.000673997191615431,0.0802957231707319,4.58005219484505e-05,0,0.375115048710274
