"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000000003",0.170398770517911,0.239321607426412,0.0766095843796285,0.0232781250525449,0.00440048491690526,0.173864525381694,0.0973444687719159,0.0052204246043867,0.015049010217114,0.00181393218629447,0.0196693428039871,0.000213647533943957,2.69932798286702e-10,0.172816075937329
"ENSG00000000419",0.367477017656604,0.146496028231551,0.0548155889810288,0.0843022333012569,0.0139790810506881,0,0.0501516582077464,0.0132410041052606,0.000255754174157671,4.35345601436245e-06,0.00157279418416001,0.00017805398784539,6.46209153706635e-10,0.267526432017478
"ENSG00000000457",0.213984833413737,0.0775246458114434,0.137045355377056,0.0344852795296099,0.0151993253673296,0.241800824666632,0.0193201042907026,0.000221329184491588,0.00126505905089396,0.00125062114346515,0.000340047455947621,3.40853077738884e-05,4.93911090595737e-10,0.257528488907006
"ENSG00000000460",0.251745345313908,0.159135783975812,0.0123990911710953,0.0665952065205109,0.00822203320714157,0.236587505560131,0.0393231675893121,0.00039768707183756,0.00220194904934527,0.000793421787749437,1.13589838450972e-05,1.23467797234614e-08,1.17528743599119e-09,0.222587436247245
"ENSG00000000938",0.218603604702457,0.167516019094143,0.00594161974946091,0.115239534483622,0.12005578602766,0.103341186660136,0.0756462580330246,0.00469959102871587,0.000875176279501755,0.00108483918696594,0.00270725954139246,6.79757327185943e-05,3.29426000152134e-10,0.184221149150776
"ENSG00000000971",0.273322942756973,0.103322788691366,0.0458714573348635,0.0649529033681418,0.0818929843243933,2.27252950050229e-09,0.0525592024821072,2.37551696557931e-05,0.00721951579305777,3.83138919467348e-07,0.000286012713030884,0.00121593983761996,7.51849688100829e-09,0.369332104598845
"ENSG00000001036",0.25612803058442,0.148313961531821,0.0305887749999403,0.0133200936029511,0.100345163356768,0.0777931471812008,0.0105751893817323,0.0850704116306626,0.00178263236416583,0.00295128145912748,0.00745941032006849,0.000481298412239325,1.10364519408387e-09,0.265190604071257
"ENSG00000001084",0.175535991188934,0.00476853719707881,0.132128849224424,4.89434913518911e-05,0.00325820939835107,0.128987526975332,0.208645565585304,0.108794145381377,0.00153529984587601,3.17939402585096e-05,0.0233587116153196,0.00242259414049439,6.34892489389283e-10,0.210483831381006
"ENSG00000001167",0.127593308436263,0.076984119859233,0.008709819121004,0.0233595466076341,0.0251737153964459,0.593264978209673,0.014933960581835,0.000475244618863573,9.7452140278667e-05,6.75800939503342e-05,9.92313001643094e-06,5.59061809010848e-06,6.4685999304823e-12,0.129324761180244
"ENSG00000001460",0.0388580160270265,0.151259118055608,0.102465022068254,0.0357947840984848,0.0339052187518741,0.292039784269787,0.0288480344894535,4.82596767899303e-06,0.000723748804579807,0.000167361146939511,6.89207031134176e-05,4.83656486663407e-06,1.56244526548297e-11,0.31586032903671
"ENSG00000001461",0.0256016981378275,0.16863395026643,0.103563544453412,0.0532860937243572,0.031203384181187,0.418622335815139,0.0729501484304547,0.000608651013096888,0.00512727530025419,0.000809043569221293,0.000588800027698768,5.5233296879204e-06,1.11109162491236e-11,0.118999551740123
