"","DonorID","Period","Regions","Sex","`Age (Numeric)`","RIN","pH","`PMI (hours)`","`Dissection Score`","`Proportion of Neurons (MultiBrain)`","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Oligodendrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Residuals"
"ENSG00000176971",0.092156995465648,0.12143562760228,0.0543495204824566,5.94417474622544e-10,0.00891403009994707,0.000555514198745678,0.000396946425155253,0.00598495730546223,1.10312255953975e-06,0.30525379751873,0.0107794654918113,0.0571691576861526,0.0861938499912825,0.256809034015352
"ENSG00000102362",0.241484953152902,0,0.0874281375790017,1.31345682043654e-10,0.0719603579297269,0.000167726375026728,0.0210545084038277,0.0205357113988508,0.000490202466301944,0.24287345426186,0.167262313750145,0.00235493619116576,0.00176996467345396,0.142617733686391
"ENSG00000214549",0.426039033459767,0,0,2.39638877814373e-11,0.0004194440688712,1.4183295983777e-05,0.000871969551198241,8.01603201629291e-05,1.85590889087243e-05,0.056804218304719,0.033263643432681,0.012656117310195,0.0328300476647358,0.437002623478813
"ENSG00000143140",0.212080636212474,0,0.0137315026992831,9.7851511191981e-13,0.00137392922194803,0.000690126089180231,0.000923181846616258,0.00228531502128993,5.4314704800644e-05,0.122962966512093,0.089766557438834,0.0460935366988355,0.0880468729583428,0.421991060595323
"ENSG00000178718",0.129983234878245,0,0.22431927203585,1.0649736389256e-12,6.33582792195707e-06,2.72166161923886e-07,0.000104130975970785,0.000208903744979252,8.54465264547133e-05,0.152711296939605,0.0446274072311793,0.0281766214081468,0.0452565453297952,0.374520532934626
"ENSG00000177303",0.128727506171504,0,0,3.20319890970356e-11,0.0104261716325735,0.0126153477905027,0.0103502971274611,0.0448488851147812,0.000168134465115725,0.506279939922059,0.0690065487993306,0.000967918539393192,0.00513693610836206,0.211472314296885
"ENSG00000130414",0.294480240163437,0,0.171476309499079,4.44888864233e-10,0.0296759810470953,0.000597529581312547,0.00210769115941994,0.00110498971677854,0.000761665531766079,0.202930798322219,0.029299119538374,0.026620515178452,0.0294109687267238,0.211534191090453
"ENSG00000095319",0.113122516073864,0.43481837487753,0.154168913165833,9.39355325982203e-12,0.00182357584588298,0.000602556943999388,0.000256158049542727,0.00326448722214081,2.00223133932682e-05,0.0883041537871596,0.0283491311928181,0.0153694048671112,0.018354991244009,0.141545714407323
"ENSG00000198478",0.140820141502857,0.236254770457468,0.0575737353988661,4.40485311587348e-14,0.0188171218824076,8.98244283545492e-06,1.042737042801e-05,0.00781362502164428,1.43776493891839e-08,0.147412948365928,0.103026652932645,0.0636380513233728,0.0718238079215013,0.152799721002353
"ENSG00000080371",0.575153445563677,3.86619652549256e-10,0.0255769704689525,9.68039560673946e-11,0.000713856653624451,1.16176380902116e-06,0.000797670094135186,0.000360344958832975,4.1985892762667e-07,0.070053496418567,0.0160146331765035,0.00917952497571036,0.0258225800576923,0.276325895526144
"ENSG00000212747",0.218418729737888,0.407320133377655,0.0267340809225251,1.10457684916135e-11,0.00291746729835101,0.0114137091776036,0.0145585224993842,0.0820064205549348,0.00116353989746485,0.057768663759522,0.0101383579520403,0.000415614302473797,0.00528425030308932,0.161860510206022
"ENSG00000148848",0.304797558683148,5.75530858243508e-09,0.0790931571904217,2.91345702828637e-09,0.00294530703154903,0.000347198222484806,0.00289843780128804,5.32915074750409e-05,0.000343556522124398,0.138411101947038,0.0457594121221493,0.0208159967891678,0.0186819180181487,0.385853055496239
"ENSG00000158161",0.227733635979462,0.18494377413341,0.127294678056187,2.01905202320447e-09,0.00308754882203643,0.000713218069624938,0.000498979863524634,0.000130070756084232,2.81430128805281e-09,0.101148343842544,0.0379119137467884,0.0228113838828588,0.0205753487296237,0.273151099284502
"ENSG00000005810",0.163588964685096,1.08319162112427e-10,0,4.58569531355127e-12,0.129339686586599,0.0145761285653371,0.000319763303399515,0.0384947861632287,0.000210907739564879,0.128305501374986,0.000235694135324864,6.11954877275323e-05,0.345157622645724,0.179709749200108
"ENSG00000003249",0.210928801986699,0,0,1.06717258695776e-12,0.00255388203258031,0.000411068463834757,0.00017647471978938,0.000179284921926874,7.08354675554944e-06,0.157210377352917,0.0392435733004181,0.015935970840511,0.0317017179222151,0.541651764911286
"ENSG00000121892",0.233228376765474,0.355544769701058,0,5.47482759727365e-10,8.97081181163429e-05,0.000184378866486378,3.13085529255622e-07,0.000384941061499869,2.1692129455176e-06,0.107338344668346,0.0379964020132759,0.0232114737013634,0.0321338116417021,0.20988531061672
"ENSG00000224473",0.329311555574325,0,0,5.13652269939777e-11,0.00137406689506557,0.000186345063785328,0.000127895441303882,2.06971828211686e-05,1.25960756824417e-06,0.090697882658081,0.0313125769465116,0.0189849828513571,0.0293990211527103,0.498583716575105
"ENSG00000212172",0.131833034860925,0,0.0723577664363921,5.18644412470876e-12,0.000156321644698091,2.30689120405582e-07,3.56746012181832e-07,3.36822500024175e-05,2.72348308200165e-05,0.158894533590634,0.0588249284568196,0.0384372507737891,0.0509189702916158,0.488515689423984
"ENSG00000147894",0.171582154419721,0,0.237218808185513,1.18565868220396e-11,0.00142065483167629,0.000208384039708447,9.7158819844339e-05,7.4873715861932e-07,3.12007674134519e-05,0.182303505813127,0.110993958293846,0.0668254314250422,0.057973516381918,0.171344478273175
"ENSG00000166863",0.061262312551467,0.152446957109148,0.42024006364291,7.5670392613797e-10,8.36409523166269e-06,5.2098192309857e-05,4.75721807918723e-05,0.000214185146221075,2.73410405000548e-06,0.04814615413396,0.016611702590815,0.00850530262143686,0.0132322129225048,0.279230339952449
"ENSG00000082153",0.350071687614478,0,0,9.6318974345334e-12,0.0139125281981149,2.3952026468064e-06,0.00498096157746585,0.00219046121229019,6.66704213389433e-05,0.225576143117232,0.0853134218594925,0.0694050865544574,0.0536426091033392,0.194838035129513
"ENSG00000223478",0.13703168860325,0,0.0985074006407896,8.88708282163661e-10,0.0475290196593831,0.0102315332359661,0.0032871858853726,0.320864989124889,0.00247139428806056,0.00052487849794515,0.0239708620756734,0.0597000739310496,0.00508838308292416,0.290792590085988
"ENSG00000152990",0.143796147253768,0.177034129821929,0.108956801233087,1.22935108883554e-10,0.000355721090611429,8.73096148797608e-06,0.000134649448390763,0.00224045562116337,7.91726337698413e-05,0.334575455259686,0.00399000644814872,0.0840308787669,0.041348007928067,0.103449843410056
"ENSG00000168303",0.347062729240113,0,0.00466287920857163,1.39722604986815e-12,0.191642184290354,0.000724131510779264,0.0250260331688016,0.000142917551086505,0.00048017718699822,0.0953489293593907,0.0519402530891151,0.0473008988615064,0.0432970651891809,0.192371801342705
"ENSG00000085231",0.379013511347859,2.49970068464289e-11,0.0374168033605766,0,0.000454695020516035,0.00142168447527908,0.00799247269271219,0.0140318469193573,2.0805829431367e-05,0.0946093493588115,0.0892942308145963,0.0626823532745737,0.0421811291865471,0.270881117694743
"ENSG00000077157",0.224392745782972,0,0.00179266553541641,2.97851922384959e-11,0.0450191442580704,0.00660777616371914,0.00784574046568313,0.00359300650173415,0.000992702342278589,0.203004944032469,0.0632619157688071,0.0268062856581514,0.170272692656647,0.246410380804266
"ENSG00000144724",0.247040588197551,1.87664613031127e-11,0.0331854051512142,1.63029912451468e-09,0.00585492544519437,0.00448236867163436,4.4566144040113e-05,0.000269122766550636,0.00156148467005014,0.0752584026110576,0.117691008027994,9.22832532823098e-05,0.0123744147328208,0.502145428679545
"ENSG00000131187",0.186988708225326,1.00460879146894e-10,0.175805322280824,2.11958564820026e-10,5.30783159770453e-06,9.76819676014982e-06,0.00221975755491963,5.08631346289615e-05,4.52227885968191e-05,0.044354343459691,0.0180462696932603,0.00867132118062655,0.00711809708885969,0.55668501825249
"ENSG00000113163",0.346281640699274,0.0408816136795617,0.0153212392920438,5.1847304906639e-10,0.0525695230687877,0.0186170209413416,0.00462806149729943,0.0239739588900679,1.38830931280494e-05,0.0752464162896635,0.075058536397089,0.0455184041485805,0.152282776373938,0.149606925110752
"ENSG00000069667",0.054084693081696,0.0533360856699611,0.556595674882497,3.01809068816062e-10,0.000100795893876756,4.15159647489763e-08,5.44580901465576e-06,0.000717222447027203,0.00021453727623076,0.0486703755023012,0.0148703875409887,0.00522894657256164,0.00734579240422828,0.258830001101843
"ENSG00000151150",0.0911980986118929,0.0628361951661784,0.219966420172074,4.66506046817192e-10,0.000446984745351876,0.0088393589054496,0.00233711453238517,0.00935136837502151,0.00112906781677879,0.281241116176888,0.0226483484356996,0.139376959355206,0.0277261322879413,0.132902834952626
"ENSG00000155099",0.369686145115361,0.137275866418106,0.0148607150594324,2.04160363855725e-13,0.00633485162585988,0.000163112385712828,9.49581670290727e-05,0.00618045021568399,1.1081672075667e-05,0.0903393844771013,0.0445632935855448,0.0430056708612164,0.0317182360009518,0.255766234415721
"ENSG00000143367",0.131838776929739,0.260406189368727,0.209458535411221,7.08317747558255e-12,0.00364560341234207,3.47487080585347e-05,0.000222308263479508,0.00174262645303174,1.70221918592971e-05,0.170056300353326,0.0305509456625907,0.0208244099153845,0.0335946985324774,0.13760783479068
"ENSG00000131873",0.0817431207732469,0.53383869563076,0.0913376858058763,5.17721649994881e-12,0.00247196619609918,1.72281785185201e-06,0.0011119159977452,0.0224248548071576,9.52801004203259e-05,0.137476726999829,6.46586767681561e-06,0.0227507534781478,0.00511101489848161,0.10162979662153
"ENSG00000145919",0.26619124426559,0.281857065494846,0.0177528372121447,1.42338802515215e-11,0.00317914958866774,4.40009873565991e-06,0.00378850950890868,0.000984372858102535,0.00162378691812902,0.0707139226379859,0.108726712833819,0.0534471548770948,0.00741729444314136,0.1843135492486
"ENSG00000065328",0.16675338004933,1.16471225748949e-09,0.0415925703083371,2.21702330040766e-11,0.000571966932827246,0.00041924312618489,1.52155974977208e-05,0.000732283485612895,2.06440547944402e-06,0.342730102744869,0.157769592036269,0.110659549804021,0.0158066741051609,0.162947356217529
"ENSG00000161082",0.19685602557637,0.142548989725443,0.154083873179098,1.81634542530756e-11,0.00277175722240365,2.71405245367725e-06,0.000160036662252636,0.00432659609395599,4.67490084132391e-06,0.152932587347895,0.0671163155234584,0.0240460838129733,0.00729158504448663,0.247858760840205
"ENSG00000163818",0.204106260537908,0.164298788914319,0.128406132639863,1.33840423156687e-09,0.00797652809634379,0.000746327812309355,0.0017243117172951,0.0218083755233777,3.4938389381181e-05,0.0936413879651855,0.0851614149045234,0.0708670596752529,0.00861609327418344,0.212612379211653
"ENSG00000136828",0.0662007839441555,0.555495563317116,0.118860595176102,1.90327657251877e-10,0.00220065017595688,7.15390616140257e-05,0.000777034103518586,0.0390166557033086,0.0010531420309908,0.0281713874792025,0.000955555051446929,0.00103893200294889,0.13505947705087,0.0510986847124415
"ENSG00000223977",0.0625505587437507,0.374097524355481,0.11693403561223,6.39954797839433e-10,0.000845582830405813,0.00358862540487039,3.80303752609983e-05,0.00161830506059639,5.79430878635286e-06,0.0473546812556182,0.0245567210819044,0.0189703241208636,0.0103758336418501,0.339063982568427
"ENSG00000065268",0.184249818780449,6.2490253315997e-11,0.086678430639325,2.59363405663352e-10,0.00369177787295095,0.000944921318459942,1.62287167817907e-05,8.8818831747289e-08,1.29408485476775e-05,0.274868447140169,0.0581500772769617,0.0403452303401032,0.141506581805551,0.209535456120014
"ENSG00000149575",0.0258635781891569,0.764748753597776,0.00143792285275092,1.0248588739927e-11,0.0193463399123342,0.00806497494558371,7.09852711340503e-05,0.00354426453796989,0.000264561471705237,0.0939203126114084,0.0106648695245343,0.0157478496069747,0.00554122686379597,0.0507843606046269
"ENSG00000006125",0.179814064520607,0.210815118010175,0.0320992909623173,5.28111986806987e-10,0.00113688171061142,0.000329014773521186,0.00386278775684538,0.0384219217882576,0.000465650374082457,0.347596770586772,0.0183771018543445,0.0144561995313544,0.000657219045105846,0.151967978557894
"ENSG00000123342",0.216559687139238,1.84236306886228e-10,0.0297142569681145,1.59685892893262e-10,0.00873708763933021,0.00158639359229439,0.000208817958383815,0.00441840960425157,9.9879741864412e-05,0.39571730887796,0.0785217391915569,0.0265955278218324,0.044483384783576,0.193357506337676
"ENSG00000117010",0.390947099717953,0,0.0125572101293168,4.60687522523776e-12,3.92984218151708e-07,0.000155804475921026,3.0447654804912e-06,0.000167303867550512,8.68933110114689e-06,0.0145686911808977,0.0043061502030481,0.00297709014559859,0.00396511983575105,0.570343403358556
"ENSG00000198042",0.37197290180261,0,0.0198255126918456,1.35780132433841e-17,4.76908377123398e-06,0.00187743932699931,0.000213912775790687,0.00492745558602581,9.5609553751651e-05,0.135095452586167,0.0665239361468619,0.0406207942680076,0.03422335916015,0.32461885701802
"ENSG00000202538",0.597156375254734,0,0.0388804771501357,3.48501154589211e-12,0.000846162055976313,8.49723117841623e-05,8.96568777405476e-06,0.00111183677090477,1.65471728006834e-05,0.0472131531992516,0.0167016062490811,0.0116079540557194,0.0253552767950801,0.261016673293273
"ENSG00000118620",0.122961539026632,0.533453881173653,0.0999440690053711,3.82434055958486e-10,6.54403490070004e-06,4.86613375637932e-05,1.90686813986295e-05,4.5441524967241e-05,4.28727930502762e-08,0.0555018621268637,0.0181924512606511,0.00984137666449167,0.0175377450257203,0.14244731688256
"ENSG00000167037",0.102530163022137,0.023464113952167,0.11358215804527,8.95956082720974e-12,0.019247043465697,0.00048952023346743,3.72054651433378e-05,2.26034807994671e-06,9.97273930931327e-05,0.412223852626503,0.119265190229202,0.0711722677743168,0.0317975703079067,0.106088927128056
"ENSG00000136928",0.122962718572154,0.13407646689259,0.0123713295555587,1.13495629499083e-12,0.000133926939320258,0.00217840186227127,1.25404647340819e-06,0.00188671302836409,1.5757440931003e-05,0.354202506021329,0.0730106297876749,0.0221830661020487,0.0106341063933425,0.266343123356807
"ENSG00000182606",0.261583615744649,6.43382530891146e-09,0.0911162313056012,4.35117280802654e-10,0.00216015091004167,0.000789166021164381,3.6176993005287e-05,0.00166103241240321,0.000155822590426318,0.118616567709647,0.042616321323022,0.0598054936715441,0.0588460366267277,0.362613377822825
"ENSG00000168066",0.11408211542847,0.221060852985432,0.319576487272269,6.16362344888773e-10,0.000485019297466942,0.00156085649561981,0.00013683028360359,0.00461839552258441,3.59350212764734e-06,0.0770542714211537,0.0273262499544636,0.0159813782109109,0.0237238481100852,0.194390100899451
"ENSG00000214401",0.559383725830144,0,0.0143028172338722,1.01892863727249e-11,0.0122879101638599,0.00870595562727126,3.91090294176819e-05,0.0337957208563853,8.52215021506827e-05,0.0380283103112757,0.0200499925820442,0.00551591760767738,0.0947180718131864,0.213087247432525
"ENSG00000204287",0.207738734722774,0.509284336636157,0.0106381925220683,3.71486328300291e-10,0.0962592015064172,0.000565478350480848,0.00320133582951433,0.0028284633590245,0.000124037528297126,0.0464015062090889,0.000765086979817624,0.000457298628811144,0.00678441252722094,0.114951914828842
"ENSG00000127951",0.104724452003895,0.106395679178654,0.634690801531045,6.96396953704635e-10,1.5046782661815e-07,1.00816705114023e-05,0.000248435757044545,0.000767720362380359,4.2879232403869e-05,0.019688387981341,0.0084434081796428,0.00530331597180257,0.010722358191705,0.10896232877535
"ENSG00000141564",0.345299872368752,9.22792357346024e-11,0,1.01956959171865e-09,0.0353935528732201,0.0109708373076829,0.00297122147696931,0.0472871046714778,1.39319710664633e-06,0.0365262676059771,0.00849658650689504,0.05127373179179,0.0277984109143336,0.433981020173946
