"Metadata","Description","Type","Dataset"
"Major Cell Type","Major cell type of single cell RNA","Cell Type","Cameron"
"Major Cell Type","Major cell type of single cell RNA","Cell Type","HCA"
"Major Cell Type","Major cell type of single cell RNA","Cell Type","Velmeshev"
"Subclass","Subclass of cell type","Cell Type","HCA"
"Class","Neuronal cell type class","Cell Type","HCA"
"Sex","Sex of donor. Values: M - Male, F - Female","Phenotype","HCA"
"Sex","Sex of donor. Values: M - Male, F - Female","Phenotype","Velmeshev"
"DonorID","Idenfitication of each donor","Phenotype","Cameron"
"DonorID","Idenfitication of each donor","Phenotype","Velmeshev"
"Age (Numeric)","Age converted to years to allow consistent scaling","Phenotype","HCA"
"Age Interval","Ages binned according to interval period","Phenotype","Cameron"
"Age Interval","Ages binned according to interval period","Phenotype","HCA"
"Structure Acronym","Acronym of brain tissue - Please refer to Supplementary Table 2","Sample characteristic","Cameron"
"Structure Acronym","Acronym of brain tissue - Please refer to Supplementary Table 2","Sample characteristic","HCA"
"Regions","Classification of brain tissues into broad regions - Please refer to Supplementary Figure 1","Sample characteristic","Cameron"
"Regions","Classification of brain tissues into broad regions - Please refer to Supplementary Figure 1","Sample characteristic","HCA"
"Cortical Layer","Outer layer of the cerebellum from which the sample was sequenced","Sample characteristic","HCA"
"Cell Type Alternative Alias","Alternative cell type alias","Cell Type","HCA"
"Total Genes Detected","Total number of genes assigned to mapped reads","Sequencing metric","Velmeshev"
"nUMI","Number of Unique Molecular Identifiers","Sequencing metric","Velmeshev"
"Diagnosis","Phenotype associated each donor and their respective sample with respect to neurological or neurpsychaitric condition","Phenotype","Velmeshev"
"Capture Batch","Batch when cells were captured from sample","Sample characteristic","Velmeshev"
"PMI (hours)","Post-mortem interval associated with each sample calculated in hours","Sequencing metric","Velmeshev"
"RIN","RNA Integritity number","Sequencing metric","Velmeshev"
"Sequencing Batch","Batch when DNA/RNA was isolated and extracted from a sample","Sequencing metric","Velmeshev"
"rRNA rate","Percentage  of all reads aligned to rRNA regions to total reads","Sequencing metric","Velmeshev"
"Mito rate","Ratio of reads that map to mitochondrial genes","Sequencing metric","Velmeshev"
