HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Ensembl gene ID
HGNC:5	A1BG	Approved			ENSG00000121410
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	ENSG00000268895
HGNC:24086	A1CF	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	ENSG00000148584
HGNC:6	A1S9T	Symbol Withdrawn			
HGNC:7	A2M	Approved		FWP007, S863-7, CPAMD5	ENSG00000175899
HGNC:27057	A2M-AS1	Approved			ENSG00000245105
HGNC:23336	A2ML1	Approved	CPAMD9	FLJ25179, p170	ENSG00000166535
HGNC:41022	A2ML1-AS1	Approved			ENSG00000256661
HGNC:41523	A2ML1-AS2	Approved			ENSG00000256904
HGNC:8	A2MP1	Symbol Withdrawn	A2MP		
HGNC:9	A2MR	Symbol Withdrawn			
HGNC:10	A2MRAP	Symbol Withdrawn			
HGNC:30005	A3GALT2	Approved	A3GALT2P	IGBS3S, IGB3S	ENSG00000184389
HGNC:18149	A4GALT	Approved	P1	A14GALT, Gb3S, P(k)	ENSG00000128274
HGNC:17968	A4GNT	Approved		alpha4GnT	ENSG00000118017
HGNC:1	A12M1	Entry Withdrawn			
HGNC:2	A12M2	Entry Withdrawn			
HGNC:3	A12M3	Entry Withdrawn			
HGNC:4	A12M4	Entry Withdrawn			
HGNC:11	AA	Symbol Withdrawn	AA		
HGNC:13666	AAAS	Approved			ENSG00000094914
HGNC:12	AABT	Entry Withdrawn			
HGNC:13	AAC1	Symbol Withdrawn			
HGNC:14	AAC2	Symbol Withdrawn			
HGNC:21298	AACS	Approved		FLJ12389, SUR-5, ACSF1	ENSG00000081760
HGNC:18226	AACSP1	Approved	AACSL		ENSG00000250420
HGNC:13792	AACT	Symbol Withdrawn			
HGNC:17	AADAC	Approved		DAC, CES5A1	ENSG00000114771
HGNC:24427	AADACL2	Approved		MGC72001	ENSG00000197953
HGNC:50301	AADACL2-AS1	Approved			ENSG00000242908
HGNC:32037	AADACL3	Approved		OTTHUMG00000001887	ENSG00000188984
HGNC:32038	AADACL4	Approved		OTTHUMG00000001889	ENSG00000204518
HGNC:50305	AADACP1	Approved			ENSG00000240602
HGNC:17929	AADAT	Approved		KATII, KAT2, KYAT2	ENSG00000109576
HGNC:25662	AAGAB	Approved		FLJ11506, p34	ENSG00000103591
HGNC:19679	AAK1	Approved		KIAA1048, DKFZp686K16132	ENSG00000115977
HGNC:30205	AAMDC	Approved	C11orf67	PTD015, FLJ21035, CK067	ENSG00000087884
HGNC:18	AAMP	Approved			ENSG00000127837
HGNC:19	AANAT	Approved		SNAT	ENSG00000129673
HGNC:15886	AAR2	Approved	C20orf4	bA234K24.2	ENSG00000131043
HGNC:33842	AARD	Approved	C8orf85	LOC441376	ENSG00000205002
HGNC:20	AARS1	Approved	AARS	CMT2N, AlaRS	ENSG00000090861
HGNC:49894	AARS1P1	Approved	AARSP1		ENSG00000249038
HGNC:21022	AARS2	Approved	AARSL	KIAA1270, bA444E17.1	ENSG00000124608
HGNC:28417	AARSD1	Approved		MGC2744, AlaXp	ENSG00000266967
HGNC:54994	AARSD1P1	Approved			ENSG00000234969
HGNC:23993	AASDH	Approved		NRPS998, LYS2, ACSF4	ENSG00000157426
HGNC:58795	AASDH-DT	Approved			ENSG00000269921
HGNC:14235	AASDHPPT	Approved		LYS5, CGI-80, AASD-PPT, ACPS	ENSG00000149313
HGNC:58262	AASDHPPT-AS1	Approved			ENSG00000254433
HGNC:17366	AASS	Approved		LORSDH, LKRSDH, LKR/SDH	ENSG00000008311
HGNC:51526	AATBC	Approved			ENSG00000215458
HGNC:19235	AATF	Approved		DED, CHE-1, CHE1, BFR2	ENSG00000275700
HGNC:22	AAVS1	Approved		AAV	
HGNC:49667	ABALON	Entry Withdrawn		INXS	
HGNC:23	ABAT	Approved		GABAT, GABA-T	ENSG00000183044
HGNC:24	ABC1	Symbol Withdrawn			
HGNC:25	ABC2	Symbol Withdrawn			
HGNC:26	ABC3	Symbol Withdrawn			
HGNC:28	ABC7	Symbol Withdrawn			
HGNC:27	ABC50	Symbol Withdrawn			
HGNC:29	ABCA1	Approved	ABC1, HDLDT1	TGD	ENSG00000165029
HGNC:32	ABCA2	Approved	ABC2		ENSG00000107331
HGNC:33	ABCA3	Approved	ABC3	ABC-C, EST111653, LBM180	ENSG00000167972
HGNC:34	ABCA4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	ENSG00000198691
HGNC:35	ABCA5	Approved		EST90625	ENSG00000154265
HGNC:36	ABCA6	Approved		EST155051	ENSG00000154262
HGNC:37	ABCA7	Approved		ABCX	ENSG00000064687
HGNC:38	ABCA8	Approved		KIAA0822	ENSG00000141338
HGNC:39	ABCA9	Approved		EST640918	ENSG00000154258
HGNC:39983	ABCA9-AS1	Approved			ENSG00000231749
HGNC:30	ABCA10	Approved		EST698739	ENSG00000154263
HGNC:31	ABCA11P	Approved	ABCA11	ABCA10P, EST1133530, FLJ14297	ENSG00000251595
HGNC:14637	ABCA12	Approved	ICR2B	DKFZP434G232, LI2	ENSG00000144452
HGNC:14638	ABCA13	Approved		FLJ33876, FLJ33951	ENSG00000179869
HGNC:34405	ABCA15P	Approved	NCRNA00169, CRYM-AS1	ABCA15P1, FLJ41766	ENSG00000189149
HGNC:55707	ABCA16P	Approved	ABCA3P1	ABCA15P2	ENSG00000257408
HGNC:32972	ABCA17P	Approved			ENSG00000238098
HGNC:40	ABCB1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	ENSG00000085563
HGNC:11563	ABCB2	Symbol Withdrawn			
HGNC:11564	ABCB3	Symbol Withdrawn			
HGNC:45	ABCB4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	ENSG00000005471
HGNC:59206	ABCB4P1	Approved			ENSG00000249627
HGNC:46	ABCB5	Approved		EST422562, ABCB5beta, ABCB5alpha	ENSG00000004846
HGNC:47	ABCB6	Approved		EST45597, umat, MTABC3	ENSG00000115657
HGNC:48	ABCB7	Approved	ABC7	EST140535, Atm1p, ASAT	ENSG00000131269
HGNC:49	ABCB8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	ENSG00000197150
HGNC:50	ABCB9	Approved		EST122234	ENSG00000150967
HGNC:41	ABCB10	Approved		EST20237, M-ABC2, MTABC2	ENSG00000135776
HGNC:14114	ABCB10P1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	ENSG00000274099
HGNC:31128	ABCB10P2	Symbol Withdrawn			
HGNC:31129	ABCB10P3	Approved			ENSG00000261524
HGNC:31130	ABCB10P4	Approved			ENSG00000260053
HGNC:42	ABCB11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	ENSG00000073734
HGNC:51	ABCC1	Approved	MRP, MRP1	GS-X	ENSG00000103222
HGNC:53	ABCC2	Approved	CMOAT	DJS, MRP2, cMRP	ENSG00000023839
HGNC:54	ABCC3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	ENSG00000108846
HGNC:55	ABCC4	Approved		MRP4, EST170205, MOAT-B, MOATB	ENSG00000125257
HGNC:56	ABCC5	Approved		MRP5, SMRP, EST277145, MOAT-C	ENSG00000114770
HGNC:40055	ABCC5-AS1	Approved			ENSG00000223882
